Country,PageRank
United States,0.12040280278
United Kingdom,0.0925230691819
France,0.0650303512317
Netherlands,0.0623905881534
Germany,0.0551081527134
Luxembourg,0.0518143299786
Japan,0.0329881786807
Switzerland,0.0273716348843
China  P.R.: Hong Kong,0.0255120659685
Ireland,0.0244757520882
Belgium,0.0227526230137
Italy,0.0223620616433
China  P.R.: Mainland,0.0189591676799
Cayman Islands,0.0169643135885
Spain,0.0165916718062
Canada,0.0146265668134
Sweden,0.0126129808543
Austria,0.0114467737759
Singapore,0.00997140862611
Australia,0.00976935154009
Russian Federation,0.00885226342423
Norway,0.00880048984487
Virgin Islands  British,0.00875420315575
Bermuda,0.00851764137146
Denmark,0.00849212088466
Mauritius,0.00755872927502
Korea  Republic of,0.00657950489317
Jersey,0.00655281068279
Brazil,0.00621003377167
Finland,0.00601405548787
Portugal,0.00559464207629
Bahrain  Kingdom of,0.00556392336918
Taiwan Province of China,0.00537447108722
South Africa,0.0051846871024
Saudi Arabia,0.00481921114517
Bahamas  The,0.00449948834178
Guernsey,0.00405832587383
Cyprus,0.00365222747094
India,0.00365115894336
Greece,0.00356737091209
Hungary,0.00342369039849
Kuwait,0.0033219955177
United Arab Emirates,0.00316770594972
Mexico,0.00301607191669
Turkey,0.0025897778856
Chile,0.00244092150279
Netherlands Antilles,0.00219730113315
Thailand,0.00203834696356
Isle of Man,0.00202624713128
Panama,0.00200963542339
Lebanon,0.00188885492008
Israel,0.00178141272513
Malaysia,0.00156635829279
Kazakhstan,0.00152443560633
Czech Republic,0.00146610652433
Libya,0.00135678809265
Poland,0.00135669570734
Barbados,0.00134912422909
Argentina,0.00134573030708
Malta,0.00128201693087
China  P.R.: Macao,0.00126790217101
Venezuela  Republica Bolivariana de,0.00125796958105
Egypt,0.00123090280343
Slovenia,0.00122727149436
Iran  Islamic Republic of,0.00122216649567
Gibraltar,0.00119358659251
New Zealand,0.00119306744987
Qatar,0.0011814540456
Nigeria,0.0011096847359
Liechtenstein,0.00109795681619
Slovak Republic,0.00109695913715
Croatia,0.00107164110336
Colombia,0.00102299215518
Oman,0.00101682127051
Liberia,0.00101364204646
Peru,0.00100270293189
Pakistan,0.0010021894386
Samoa,0.000990222737845
Iceland,0.000973283113881
Indonesia,0.000959672776002
Philippines,0.000957801498184
Uganda,0.000955766140277
Ukraine,0.00093876870537
Estonia,0.000915449862751
Jordan,0.000913317008825
Uruguay,0.000911218816868
Syrian Arab Republic,0.000873304754121
Bulgaria,0.000867697696564
Kenya,0.00085911198272
Romania,0.000856184414218
Serbia  Republic of,0.000854411431473
Belize,0.000846496799883
Lithuania,0.00084472273428
Vietnam,0.000840918386462
Cook Islands,0.000836657784648
Guatemala,0.000831354341216
Morocco,0.000831260896052
Costa Rica,0.000824342361902
Angola,0.000818236401713
Brunei Darussalam,0.000815861680229
Marshall Islands  Republic of,0.000812412032776
Seychelles,0.000810567456641
Trinidad and Tobago,0.000809581976604
Aruba,0.000805232276107
Ecuador,0.000801331291087
Tunisia,0.000796616685457
Dominican Republic,0.000793469934668
Latvia,0.000793419080206
Iraq,0.000792431840845
Yemen  Republic of,0.000786903910743
Algeria,0.000784448787365
El Salvador,0.000781939226429
Uzbekistan,0.000779768948405
Honduras,0.000775016366542
Anguilla,0.000774677134169
Azerbaijan  Republic of,0.000771586901586
Bangladesh,0.000768537803737
St. Vincent and the Grenadines,0.000759936275635
Botswana,0.000758616894944
American Samoa,0.000757881512024
Nicaragua,0.000757874149559
Andorra,0.000753430221675
Bolivia,0.000752632881612
Cuba,0.000751572228822
Tanzania,0.000750834535926
Sudan,0.000744978812954
Cote d'Ivoire,0.00074464488844
US Virgin Islands,0.000744234406039
Swaziland,0.00074200653453
Zimbabwe,0.000741910518357
Mozambique,0.000741855034275
Jamaica,0.000740078434703
Gabon,0.000739907217624
Bosnia and Herzegovina,0.000737499527745
Namibia,0.000737473751318
Togo,0.000737420314959
San Marino,0.000736730099778
Turks and Caicos Islands,0.000736069281292
Paraguay,0.000736001978464
Belarus,0.000735731834483
Ghana,0.000735447559769
Nepal,0.000735424049193
Sri Lanka,0.000735290993504
Cameroon,0.000734614026466
Senegal,0.000734424278429
West Bank and Gaza,0.000734208299566
French Territories: New Caledonia,0.000732822395265
Congo  Democratic Republic of,0.000732821444999
Monaco,0.000731643653565
Madagascar,0.000731203659444
French Territories: French Polynesia,0.000729711635468
St. Kitts and Nevis,0.000729369502804
Zambia,0.000728646602474
Georgia,0.000728105017679
Albania,0.000727885295234
Moldova,0.000727674052998
Lesotho,0.000727645810878
Ethiopia,0.000727374352271
Papua New Guinea,0.000727374008218
Myanmar,0.000727354739352
Suriname,0.00072722861213
Cabo Verde,0.00072670968466
Macedonia  FYR,0.000726677748896
Cambodia,0.000726586122569
Congo  Republic of,0.000725816471004
Korea  Democratic People's Rep. of,0.000725737073002
Djibouti,0.000724438826127
Vatican,0.000724265057455
Haiti,0.000723937884014
Dominica,0.000723582839036
Afghanistan  Islamic Republic of,0.000722836645963
Montenegro,0.000722582075346
Armenia  Republic of,0.00072240029454
Kyrgyz Republic,0.000722009471043
Rwanda,0.000721763659255
Guinea,0.000721736160604
Malawi,0.000721341590031
St. Lucia,0.00072100916723
Guyana,0.000720851138902
Mauritania,0.000720755374831
Turkmenistan,0.000720737952303
Puerto Rico,0.000720649947722
Mali,0.000720153014182
Equatorial Guinea,0.000720073690925
Benin,0.000720059972698
Bhutan,0.000719666513591
Vanuatu,0.000719577602286
Burkina Faso,0.000719408991883
Greenland,0.000719001954059
Gambia  The,0.000718804638736
Lao People's Democratic Republic,0.000718688381617
Burundi,0.000718207315551
Grenada,0.000718143056279
Mongolia,0.00071811977905
Solomon Islands,0.000718038627314
Chad,0.00071793937522
Niger,0.000717403101693
Sierra Leone,0.000717038052935
Timor-Leste  Dem. Rep. of,0.000717028275818
Antigua and Barbuda,0.000716960880496
Tajikistan,0.000716948305049
Maldives,0.00071692408926
Fiji,0.00071659366229
Central African Republic,0.000716570315622
Sao Tome and Principe,0.000716275848451
US Pacific Islands,0.000716274731343
Guinea-Bissau,0.000716191831075
Tonga,0.000716011220024
British Indian Ocean Territory,0.000715949322267
Kosovo  Republic of,0.000715648854965
Curacao & St. Maarten,0.000715648854965
Curacao,0.000715648854965
Sint Maarten,0.000715648854965
