Country,PageRank
United States,0.156408600011
United Kingdom,0.0869375030687
Netherlands,0.0557378359239
Luxembourg,0.0488859250484
France,0.0473920693839
Germany,0.0357398789102
Switzerland,0.0280741139842
Cayman Islands,0.0278162542566
Japan,0.0235082391902
China  P.R.: Mainland,0.0224051168873
Ireland,0.0216114720356
China  P.R.: Hong Kong,0.0195910181238
Canada,0.0190400369352
Italy,0.0190204729368
Spain,0.01810038398
Belgium,0.0168288195921
Australia,0.0150557525639
Brazil,0.0116140418198
Sweden,0.010704498763
Singapore,0.0103976487067
Austria,0.00987952254203
Bermuda,0.00938203206547
Russian Federation,0.00871380963159
India,0.00792624033809
Korea  Republic of,0.00704003439548
Mexico,0.00700947794522
Norway,0.00648523439422
Virgin Islands  British,0.00627076642677
Denmark,0.00593173602197
Portugal,0.00547079510652
Jersey,0.00532532037871
Cyprus,0.00523770553733
Finland,0.00480830807966
South Africa,0.00479205927472
Turkey,0.00442660131953
Taiwan Province of China,0.00437070939629
Poland,0.00422235562004
Bahamas  The,0.00382487781313
Mauritius,0.00379775730472
Bahrain  Kingdom of,0.00373470295812
Panama,0.00370710361036
Hungary,0.00368792112211
Indonesia,0.00352005894902
United Arab Emirates,0.00326470053538
Thailand,0.00275760382262
Chile,0.00275446225011
Malaysia,0.00273756641687
Curacao,0.00262138804916
Czech Republic,0.0025884469025
Peru,0.00250487738048
Greece,0.00235862959143
Guernsey,0.00215318220245
Isle of Man,0.0020945865923
New Zealand,0.00207808942825
Romania,0.00202046071108
Israel,0.00197436154989
Colombia,0.00190105710486
Saudi Arabia,0.00189167158486
Venezuela  Republica Bolivariana de,0.00186976604243
Nigeria,0.0018522677492
Argentina,0.00177733808102
Kazakhstan,0.00171916829172
Slovak Republic,0.00168001590248
Philippines,0.00165467806385
Ukraine,0.00163325669255
Croatia,0.00158227657077
Bulgaria,0.00154657386591
Ghana,0.00152061534163
Barbados,0.00152032107829
Gibraltar,0.00146507802459
Egypt,0.00142670469876
Uruguay,0.00137753491331
Qatar,0.00136911897073
Serbia  Republic of,0.00134884233849
Slovenia,0.00133132430335
China  P.R.: Macao,0.00128864681328
Puerto Rico,0.00128808083911
Malta,0.0012219009643
Lithuania,0.00119630643639
Marshall Islands  Republic of,0.00119447743319
Kuwait,0.00116709071177
Mozambique,0.00116625416307
Latvia,0.00112414039365
Costa Rica,0.00112264626616
Bosnia and Herzegovina,0.00112169618026
Vietnam,0.0011149820198
Azerbaijan  Republic of,0.00108567569759
Angola,0.00108475409165
Morocco,0.00106768065932
Estonia,0.00103497366709
Guatemala,0.00100057317919
Liberia,0.00099630628481
El Salvador,0.000980141792148
Belarus,0.000961155355819
Pakistan,0.000953958620325
Iceland,0.000938948867266
Kenya,0.000935431881023
Papua New Guinea,0.000932571087775
Sri Lanka,0.000927161838812
Macedonia  FYR,0.000922372771315
Ecuador,0.00091387824281
Montenegro,0.000894410576635
Honduras,0.00088871737841
Algeria,0.000880955031785
Oman,0.000880522920014
Dominican Republic,0.000879605318554
Bangladesh,0.000875545227262
Nepal,0.000867098688151
Lebanon,0.000862458091141
Liechtenstein,0.000858053206989
Jordan,0.000851295598152
Uganda,0.000845330719856
Congo  Democratic Republic of,0.000841623255084
Mongolia,0.000840632487734
Iran  Islamic Republic of,0.000835352575262
Bolivia,0.0008334360451
Zambia,0.000828827798755
Niger,0.000821910338353
Tunisia,0.000813813444793
Mali,0.000813453509838
Paraguay,0.000809643746285
Botswana,0.000806691647618
Trinidad and Tobago,0.000805995767523
St. Vincent and the Grenadines,0.000804033543434
Iraq,0.000802368479768
West Bank and Gaza,0.000795821018558
Albania,0.000793703175437
Libya,0.000793088281153
Armenia  Republic of,0.000790668444538
Gabon,0.000790471457552
Cote d'Ivoire,0.000789627774173
Kosovo  Republic of,0.000788138298559
Georgia,0.00078629161199
Myanmar,0.000782635293181
Syrian Arab Republic,0.000778315799002
Aruba,0.000774430856092
Nicaragua,0.000773258084876
Namibia,0.000769569181395
Guinea-Bissau,0.000768895991372
Lao People's Democratic Republic,0.000764856658372
Moldova,0.000764576676442
Belize,0.000764475925131
Congo  Republic of,0.000758784053195
Kyrgyz Republic,0.000757758160581
Tanzania,0.000757157179304
Senegal,0.000756948466749
Samoa,0.000756377231836
Cambodia,0.000754552933025
French Territories: New Caledonia,0.00075370933435
Seychelles,0.000753651442205
Andorra,0.000750160297717
Jamaica,0.000750132861484
Burkina Faso,0.000749823471906
Sudan,0.000748379693293
Madagascar,0.000748254260642
Togo,0.000747442213625
Turks and Caicos Islands,0.000746350853991
Sint Maarten,0.000741912586812
Cameroon,0.000741908408792
Zimbabwe,0.000741889774375
Monaco,0.000741110952845
US Virgin Islands,0.000739275194536
Cuba,0.000739240146213
Guyana,0.000738018546803
Cabo Verde,0.000737208526591
Uzbekistan,0.000736628895351
French Territories: French Polynesia,0.000734917762746
Yemen  Republic of,0.000733161838398
Curacao & St. Maarten,0.000732275421658
Rwanda,0.000732164439915
Swaziland,0.000730714999832
Benin,0.000730224071879
Tajikistan,0.000729922133002
Ethiopia,0.000729357150671
Afghanistan  Islamic Republic of,0.000728058337854
Turkmenistan,0.000726477505962
Maldives,0.000726387677855
Sierra Leone,0.000726056356728
Greenland,0.000725863700568
St. Kitts and Nevis,0.000725764437588
Anguilla,0.000725210591804
Mauritania,0.000725142277327
San Marino,0.00072453420276
Burundi,0.000724234788817
St. Lucia,0.000723959484315
Brunei Darussalam,0.000723895942878
Antigua and Barbuda,0.000723441327347
Malawi,0.000722329172772
Solomon Islands,0.000721133095902
Guinea,0.000721107581658
Central African Republic,0.00072091277876
Equatorial Guinea,0.000720893450023
Lesotho,0.000720590739632
US Pacific Islands,0.000720526811164
Korea  Democratic People's Rep. of,0.000720388985063
Haiti,0.000720220361214
Suriname,0.000720077339037
Timor-Leste  Dem. Rep. of,0.000719785626826
Dominica,0.000719428830488
American Samoa,0.000719346342794
