Country,Eigenvector centrality
United States,3.40137882649
United Kingdom,0.311998431546
Cayman Islands,0.128706301222
Netherlands,0.0993255861704
Canada,0.0908334956811
Japan,0.0736648688797
France,0.0578624820358
Luxembourg,0.0549125897845
Ireland,0.0485901323652
Germany,0.0455890677703
Switzerland,0.0415891614418
Australia,0.0320202098618
Bermuda,0.0313499636631
Brazil,0.0204012454509
Singapore,0.0189520185955
Mexico,0.0176212965261
China  P.R.: Hong Kong,0.017598586358
China  P.R.: Mainland,0.0165511262528
Sweden,0.014244718116
Spain,0.0138504671019
Korea  Republic of,0.0137516123621
Italy,0.0122030828478
India,0.0104154110663
Belgium,0.00923707768167
Taiwan Province of China,0.00820313385833
Norway,0.00716554564002
Jersey,0.00648759911692
South Africa,0.00560125643995
Israel,0.00516209169087
Denmark,0.00513249017697
Curacao,0.00502680241545
Virgin Islands  British,0.0049065739244
Indonesia,0.00428952720479
Chile,0.00406905916639
Turkey,0.00400022753154
Finland,0.00361409359233
Russian Federation,0.00359716780804
Malaysia,0.00335275836611
Thailand,0.00307013970008
Guernsey,0.00296225761992
Austria,0.00272626168951
Poland,0.00267514051677
Mauritius,0.00256800556997
Bahamas  The,0.00240898279512
Colombia,0.00234079099964
Panama,0.00221177675573
Philippines,0.00191892461444
Argentina,0.00191468593564
United Arab Emirates,0.0018407527375
New Zealand,0.00179666664529
Egypt,0.00168908973512
Hungary,0.00160422535368
Marshall Islands  Republic of,0.00155039040563
Peru,0.00147392387549
Portugal,0.00132485472944
Venezuela  Republica Bolivariana de,0.0010661664305
Kazakhstan,0.000948254380481
Greece,0.000947428176853
Barbados,0.000907811359592
Liberia,0.000678208084307
Czech Republic,0.000660496044685
Nigeria,0.000646368339212
Qatar,0.000597701257097
Romania,0.000452883383053
Cyprus,0.000447174912761
Slovenia,0.000442713302487
Isle of Man,0.000425499439948
Ukraine,0.000421087932184
Uruguay,0.000416148854015
Saudi Arabia,0.000402113046551
Pakistan,0.000324098137909
Dominican Republic,0.00030013443576
Costa Rica,0.000295812850259
Sri Lanka,0.000291398986019
El Salvador,0.000254164561862
Gibraltar,0.000248321547979
Serbia  Republic of,0.000231279411331
Guatemala,0.000229687434025
Croatia,0.000228611928791
Vietnam,0.000216166943852
Puerto Rico,0.000213489907338
Bahrain  Kingdom of,0.000210904819572
Morocco,0.000207831340181
Iceland,0.000188364396626
Paraguay,0.000179795398525
Lithuania,0.00016948452228
Kuwait,0.000169444958962
Ecuador,0.000160747282306
Malta,0.000160442988962
Honduras,0.000154553695978
Kenya,0.000147798177916
Jordan,0.000146757988614
Aruba,0.000143838386768
Ghana,0.000124738839605
Trinidad and Tobago,0.000120950659024
Lebanon,0.000114141930474
Mozambique,0.00010302612459
Bulgaria,0.000100168566158
Slovak Republic,9.65689196133e-05
Papua New Guinea,9.60001811106e-05
Bangladesh,8.54478725548e-05
Cote d'Ivoire,7.61980923254e-05
Tunisia,6.92700840371e-05
Zambia,6.70296457991e-05
Latvia,6.42125590998e-05
Oman,6.36916177087e-05
Iraq,5.79396979638e-05
Azerbaijan  Republic of,5.49116498448e-05
Bolivia,5.45283265832e-05
Georgia,5.26940985688e-05
Mongolia,5.04049183166e-05
Jamaica,4.99850758685e-05
Uganda,4.13707362188e-05
China  P.R.: Macao,3.8334948405e-05
Belarus,3.65187365359e-05
Estonia,3.34812315039e-05
Turks and Caicos Islands,3.20599512633e-05
Belize,3.17316415479e-05
Gabon,3.10391616203e-05
Senegal,2.5699628183e-05
Armenia  Republic of,2.55242227227e-05
Tanzania,2.30653696795e-05
Macedonia  FYR,2.23610893966e-05
Albania,2.15481554097e-05
Congo  Republic of,2.00065153675e-05
Ethiopia,1.75764642727e-05
Angola,1.74125277412e-05
Anguilla,1.68614766471e-05
Libya,1.36413559466e-05
Namibia,1.23394992256e-05
Bosnia and Herzegovina,1.20181073737e-05
Liechtenstein,1.16146478125e-05
Botswana,9.89177607254e-06
Zimbabwe,9.83632500419e-06
Mauritania,8.78494029712e-06
Rwanda,8.47317038378e-06
Sint Maarten,7.27104315238e-06
Algeria,6.90292276349e-06
Seychelles,5.94875256239e-06
Nicaragua,5.82776551267e-06
Montenegro,5.57040736105e-06
Haiti,5.37750696584e-06
Kyrgyz Republic,5.00122824896e-06
Fiji,4.94762257885e-06
Kosovo  Republic of,3.805644451e-06
Togo,3.71048735948e-06
Moldova,3.49497438485e-06
Mali,3.23327767744e-06
Sierra Leone,3.16766459447e-06
West Bank and Gaza,3.11615498758e-06
Cameroon,2.99279194506e-06
French Territories: New Caledonia,2.9734796898e-06
Iran  Islamic Republic of,2.67148580009e-06
Brunei Darussalam,2.65209520201e-06
Curacao & St. Maarten,2.6408597784e-06
Uzbekistan,1.87594568303e-06
Chad,1.6516899612e-06
Monaco,1.55178069539e-06
French Territories: French Polynesia,1.49871798443e-06
Grenada,1.33993051148e-06
Solomon Islands,1.26329640944e-06
US Virgin Islands,1.25597679712e-06
Cambodia,1.20563198533e-06
Lao People's Democratic Republic,1.00913600376e-06
St. Lucia,9.98777937806e-07
Burkina Faso,9.21317499107e-07
Andorra,9.09072331276e-07
Burundi,8.87100248948e-07
St. Vincent and the Grenadines,8.78961940215e-07
Yemen  Republic of,8.20850474278e-07
Greenland,8.06761647609e-07
Cuba,7.47136611504e-07
Niger,6.12214451644e-07
Malawi,5.92738947083e-07
Myanmar,5.64423940195e-07
Samoa,5.38616131978e-07
Madagascar,4.7717634441e-07
Nepal,4.65667123579e-07
Cabo Verde,3.99771149537e-07
Sudan,3.55054226561e-07
Syrian Arab Republic,3.47563771934e-07
Congo  Democratic Republic of,2.98170642534e-07
Turkmenistan,2.32723513238e-07
Guyana,2.23523140542e-07
Guinea,1.86078301132e-07
Djibouti,1.85569934582e-07
Suriname,1.84123316488e-07
Benin,1.8399865422e-07
Bhutan,1.40191690125e-07
Tajikistan,1.27137324852e-07
US Pacific Islands,1.09477164278e-07
Vanuatu,1.00829265506e-07
Equatorial Guinea,9.5991885958e-08
San Marino,9.41893652373e-08
Swaziland,9.26650074977e-08
Dominica,9.24662081539e-08
Sao Tome and Principe,8.28871337699e-08
Cook Islands,8.16828565169e-08
Vatican,7.32074372658e-08
Maldives,6.63409645776e-08
Gambia  The,6.42643474536e-08
Afghanistan  Islamic Republic of,5.5156717824e-08
Central African Republic,4.70229879771e-08
St. Kitts and Nevis,2.67725789601e-08
Korea  Democratic People's Rep. of,2.24026871495e-08
Antigua and Barbuda,1.99709125598e-08
Timor-Leste  Dem. Rep. of,1.46300555368e-08
Lesotho,1.31850790386e-08
Tonga,6.60630112542e-09
British Indian Ocean Territory,5.29209079043e-09
American Samoa,2.87407344817e-09
Guinea-Bissau,6.25119559442e-10
Netherlands Antilles,1.08590689887e-23
