Country,PageRank centrality
United States,0.0815227587712
France,0.0590162860315
United Kingdom,0.0568517798078
Luxembourg,0.0468548711078
Germany,0.0448387710689
Netherlands,0.0403327711649
Switzerland,0.0247677428479
Japan,0.0242216574608
China  P.R.: Hong Kong,0.020413740163
Ireland,0.0168902054651
Italy,0.0164145352012
Canada,0.0154433319149
Belgium,0.0147383422318
China  P.R.: Mainland,0.0119655729855
Korea  Republic of,0.0114465030805
Curacao & St. Maarten,0.0108886244988
Norway,0.0106798468432
Sweden,0.0103885184859
Singapore,0.0103577224918
Austria,0.0102706618526
Taiwan Province of China,0.00990419207251
Spain,0.00958698670711
Denmark,0.00936790459214
Australia,0.00860049301774
South Africa,0.00830056573599
Jersey,0.00715261477684
Bermuda,0.00699947891762
Saudi Arabia,0.00698051902625
Russian Federation,0.0065292097193
Kuwait,0.0062134144368
Cayman Islands,0.00619005856536
United Arab Emirates,0.00618039987008
Finland,0.0055512105699
Mauritius,0.00554430545497
Portugal,0.00511864938917
Guernsey,0.00479191845284
Virgin Islands  British,0.00471581750796
Afghanistan  Islamic Republic of,0.00438886391407
Brunei Darussalam,0.00425225944922
St. Kitts and Nevis,0.00419719187328
Bahrain  Kingdom of,0.00419626433146
Cook Islands,0.00416426226953
Libya,0.00388419963097
Bhutan,0.00376629684209
Samoa,0.00376232993488
Panama,0.00367896826111
Haiti,0.00359801297303
Oman,0.00358401236769
Liechtenstein,0.00358170001933
Timor-Leste  Dem. Rep. of,0.00353326266014
Bahamas  The,0.00346187314756
Thailand,0.00337453339843
Greece,0.00333840510906
Mexico,0.00332862871961
Antigua and Barbuda,0.00332309480994
Isle of Man,0.00328277738147
Iraq,0.00320417721856
Kosovo  Republic of,0.00316585204622
Lesotho,0.00312414268965
Cyprus,0.00307086793446
Chile,0.00303568514937
China  P.R.: Macao,0.00296163129066
Brazil,0.00295546193278
Botswana,0.00295539446656
Nepal,0.00292297812661
Montenegro,0.00292151333075
Israel,0.00288775379758
Trinidad and Tobago,0.00287210152359
Kazakhstan,0.00283190143755
Tonga,0.00273338670128
Andorra,0.00270363215149
Moldova,0.00268347112046
Malaysia,0.00264062449084
Lebanon,0.00262887058336
Solomon Islands,0.00257780674594
Iran  Islamic Republic of,0.00255539953839
St. Lucia,0.00255168066441
Fiji,0.0025432309339
Anguilla,0.002527640612
Monaco,0.00252105531501
Malta,0.00245494469817
Swaziland,0.00243041785398
India,0.00242048009824
Colombia,0.0024033158228
Estonia,0.00239232640539
Seychelles,0.00238415793098
Slovenia,0.00238208995862
Hungary,0.00236834336544
Iceland,0.00236526373698
Argentina,0.00235658976539
Bolivia,0.00229652455349
Belize,0.00223648676308
Dominica,0.00222215908018
San Marino,0.00221779021081
Kenya,0.00221381178987
Barbados,0.00219677768338
Gibraltar,0.00219466582506
Guinea-Bissau,0.00212171582641
British Indian Ocean Territory,0.00210620785416
Yemen  Republic of,0.00208257596419
Latvia,0.00207084522363
Qatar,0.00207030224008
Jordan,0.00206657333331
Nicaragua,0.00203833879844
Uruguay,0.00200816928673
Suriname,0.00196668998296
Turkey,0.00195749348867
Czech Republic,0.00195703518665
Syrian Arab Republic,0.00193865024215
Venezuela  Republica Bolivariana de,0.00187905523688
Tanzania,0.00186335960541
Gambia  The,0.0018393847351
Azerbaijan  Republic of,0.00183619956754
Korea  Democratic People's Rep. of,0.00180585834999
Peru,0.00178693630752
Jamaica,0.00175805055562
Ecuador,0.00173141711534
Uganda,0.00171437000793
Bulgaria,0.00171210512713
Guatemala,0.00171124276018
West Bank and Gaza,0.00169923611476
Namibia,0.00167519899363
Poland,0.00165900800493
St. Vincent and the Grenadines,0.00165289680135
Costa Rica,0.00162010460888
Grenada,0.00161992038961
Malawi,0.00161309104619
US Virgin Islands,0.00161157785318
Angola,0.0016005052621
New Zealand,0.00159334493925
Algeria,0.00158849472782
Albania,0.00158708003831
Honduras,0.00158482304744
Ethiopia,0.00157449516501
Guyana,0.00155827085062
Vanuatu,0.00153910613497
Slovak Republic,0.00153476745339
Lithuania,0.00151846156242
Serbia  Republic of,0.00150422344256
Dominican Republic,0.00149659135385
Nigeria,0.0014920174932
Aruba,0.00147667484712
Philippines,0.00147253074249
Rwanda,0.00145861861831
Liberia,0.00145442899916
Papua New Guinea,0.00144847317029
Tunisia,0.00144554609121
Bangladesh,0.00144464035659
Cuba,0.00144215076088
Mali,0.00143974347574
Gabon,0.0014370449266
Cote d'Ivoire,0.00143278910414
Macedonia  FYR,0.00143137211711
Mauritania,0.0014228109899
Egypt,0.00141809547154
Kyrgyz Republic,0.00140857524661
Croatia,0.0013961148826
Zimbabwe,0.00139062713674
Congo  Democratic Republic of,0.00138225473892
Congo  Republic of,0.00137348054696
Madagascar,0.0013602236071
Senegal,0.00132653244663
Paraguay,0.00131003900622
French Territories: New Caledonia,0.00130234921582
Cambodia,0.00130223225393
Equatorial Guinea,0.00130067444416
Uzbekistan,0.00129273783426
Maldives,0.00129249526498
US Pacific Islands,0.00129034087093
El Salvador,0.00128793835175
Sudan,0.001277936483
Tajikistan,0.0012766784702
American Samoa,0.00127392153128
Benin,0.00126896087123
Guinea,0.001263434918
Turks and Caicos Islands,0.00125102230397
Djibouti,0.00124659785842
Marshall Islands  Republic of,0.00124635511133
Myanmar,0.00123607356728
Turkmenistan,0.00122214470233
Mozambique,0.00122201801442
Burkina Faso,0.00122070711622
Niger,0.00121394824995
Belarus,0.00120472378774
Sao Tome and Principe,0.00120166817925
Chad,0.00119715220807
Cameroon,0.00119497525847
Central African Republic,0.00119476905699
Vatican,0.00119224442361
Armenia  Republic of,0.00118550568485
Cabo Verde,0.00118361385981
Pakistan,0.00117851477845
Zambia,0.00117711021597
Greenland,0.00116877950451
French Territories: French Polynesia,0.00114390696877
Bosnia and Herzegovina,0.00114134778674
Ghana,0.00112661842742
Sierra Leone,0.00112146513542
Georgia,0.00112091455994
Sri Lanka,0.00112057969085
Ukraine,0.00110190429877
Togo,0.00109050532287
Burundi,0.00108618567128
Vietnam,0.00107920133711
Morocco,0.00107514751161
Romania,0.00105566067865
Puerto Rico,0.00104595659859
Mongolia,0.00102136147724
Indonesia,0.000915821057613
Lao People's Democratic Republic,0.00090307322218
Sint Maarten,0.000707613925846
Netherlands Antilles,0.000707613925846
Curacao,0.000707613925846
