Country,PageRank centrality
United States,0.0820052478497
United Kingdom,0.051359547288
France,0.0275203609878
Netherlands,0.0249346550848
Switzerland,0.0224785769451
China  P.R.: Mainland,0.0192058328997
Luxembourg,0.0186153910611
Cayman Islands,0.0178418992661
Germany,0.0164153292258
China  P.R.: Hong Kong,0.014663176545
Italy,0.0140376970813
Australia,0.0139409230039
Spain,0.0136456892628
Brazil,0.0122466706339
India,0.0120845224476
Canada,0.0115790194934
Russian Federation,0.0107313725404
Ireland,0.0105531768253
Turkey,0.0096162265839
Belgium,0.00939709234475
Japan,0.00924473880904
Mexico,0.0082557718857
Indonesia,0.00812275811637
Curacao,0.00749904567842
Sweden,0.00730073169236
Korea  Republic of,0.00725627395668
South Africa,0.00705982663431
Romania,0.00698941784545
Portugal,0.00696735618222
Ghana,0.00659735903293
Poland,0.00646176266418
Cyprus,0.00628997009497
Peru,0.00622148599922
Austria,0.00621725156014
Denmark,0.00615190699226
Nigeria,0.00612294114391
Mozambique,0.00601121285287
Panama,0.00588815218056
Bermuda,0.00527066085688
Singapore,0.00515633511644
Taiwan Province of China,0.00509395260602
Jersey,0.00489063204793
Sint Maarten,0.0048061510797
Papua New Guinea,0.00476398592451
Serbia  Republic of,0.00475777178041
Thailand,0.00475282410337
Mongolia,0.00472066388658
Niger,0.00466556005682
Ukraine,0.00462151503524
Bulgaria,0.00448269099543
Philippines,0.00443857580912
Bosnia and Herzegovina,0.00438856383161
Czech Republic,0.00436336110283
Zambia,0.00431467672636
Congo  Republic of,0.00425707465385
Croatia,0.00420690950241
Montenegro,0.00420213849732
Kyrgyz Republic,0.0041910691363
Finland,0.0041277399342
Lithuania,0.00408136024872
Morocco,0.00402596470008
Uganda,0.00400888876402
Norway,0.00400123454852
El Salvador,0.00396099938224
Virgin Islands  British,0.0039490493062
Tajikistan,0.00392440943402
Lao People's Democratic Republic,0.00392281574291
Vietnam,0.00391058056523
Congo  Democratic Republic of,0.00389312115647
Senegal,0.00377329552377
Slovak Republic,0.00368370577765
Malaysia,0.00366583247415
Central African Republic,0.00361440946602
Chile,0.00361268781967
Colombia,0.00361095503273
Macedonia  FYR,0.00360867102943
New Zealand,0.00356369429419
Georgia,0.00353084118385
Belarus,0.00352922290712
Latvia,0.00350336914878
Cote d'Ivoire,0.00349170232164
Venezuela  Republica Bolivariana de,0.0034832857785
Zimbabwe,0.00345925087448
Aruba,0.0034433718632
Albania,0.00343915885676
Egypt,0.00340127576645
Namibia,0.00337932314217
Burkina Faso,0.00337504679116
Equatorial Guinea,0.0033570210063
Pakistan,0.00334202672427
Hungary,0.00333314323139
Bahrain  Kingdom of,0.00333149817725
Moldova,0.00328647825947
Sri Lanka,0.0032796428988
Bangladesh,0.00326211381237
Bolivia,0.00324426561308
Tunisia,0.00320906050872
Argentina,0.00314782165191
Slovenia,0.00306431272792
Costa Rica,0.00305218725511
United Arab Emirates,0.00301480851131
Puerto Rico,0.00299574374944
Paraguay,0.00297022172628
Maldives,0.00294273900952
Mauritius,0.00293237800912
Korea  Democratic People's Rep. of,0.00292837687259
Cameroon,0.00292831322328
Myanmar,0.00292146516073
Madagascar,0.00291801382149
Uruguay,0.00290920641576
Malta,0.00286865903711
Rwanda,0.00286602915945
Kazakhstan,0.00286135816482
Honduras,0.00284577521384
Bhutan,0.00281111067392
Cambodia,0.00279084401175
Gabon,0.00276904411626
Guatemala,0.00275627383732
Angola,0.00271606168263
Armenia  Republic of,0.002613712988
Algeria,0.00260840549517
Burundi,0.00258591592334
Greece,0.00255387634878
Bahamas  The,0.00254588028654
Dominican Republic,0.00254251463395
Sudan,0.0024856441335
Liberia,0.00248305857211
Estonia,0.00246899341583
West Bank and Gaza,0.00245060279825
Azerbaijan  Republic of,0.00242520430758
Isle of Man,0.00242188496088
Marshall Islands  Republic of,0.00241858589339
Mali,0.00240705800165
Antigua and Barbuda,0.00240370937836
Qatar,0.00239365294502
Kosovo  Republic of,0.00238529539898
Israel,0.00237693657841
Guernsey,0.00237025785016
Gibraltar,0.00224824787864
Iceland,0.00222608950519
Sierra Leone,0.00219101492039
French Territories: New Caledonia,0.00217873742385
Swaziland,0.00215526729168
Barbados,0.00213498150464
Kenya,0.002134574206
Tanzania,0.00212795257512
Cabo Verde,0.00209032861698
Syrian Arab Republic,0.00208280192878
Botswana,0.0020814129539
Grenada,0.00206889701956
Benin,0.00202927201702
Jamaica,0.00200562438819
Ecuador,0.00199249788052
Ethiopia,0.00192673912361
Turks and Caicos Islands,0.00190345805781
US Pacific Islands,0.00189098199087
Iraq,0.00188240751566
Saudi Arabia,0.00186949936991
China  P.R.: Macao,0.00184842909107
Greenland,0.00184432590165
Jordan,0.00184072311656
Trinidad and Tobago,0.00183772174446
Malawi,0.00182537698161
French Territories: French Polynesia,0.00174828556158
Yemen  Republic of,0.00169674187544
Nepal,0.00168836248663
American Samoa,0.00168051463525
Nicaragua,0.00167482402166
Timor-Leste  Dem. Rep. of,0.00166327915804
Guinea,0.00165216052876
Iran  Islamic Republic of,0.00159463912946
Solomon Islands,0.00157294479199
Lebanon,0.00156455134572
Uzbekistan,0.0015633437292
St. Lucia,0.00153597689064
Mauritania,0.00152972527842
Lesotho,0.00152367235566
Monaco,0.00151759781688
Liechtenstein,0.00151423505336
Oman,0.00151312403636
St. Kitts and Nevis,0.00145189747112
US Virgin Islands,0.00145058920968
Turkmenistan,0.0014461981281
St. Vincent and the Grenadines,0.00142134748676
Togo,0.00140882831133
Kuwait,0.00140818454897
Guinea-Bissau,0.00140524190146
San Marino,0.00139554510602
Vatican,0.00137481617457
Cuba,0.00137026056334
Samoa,0.0013670490621
Tonga,0.00132298715538
Gambia  The,0.00130004743491
Belize,0.00127079029055
Andorra,0.00126713765115
Seychelles,0.00126382488968
Vanuatu,0.00125478270232
Dominica,0.00124267258379
Guyana,0.00123248023524
Libya,0.00122520299666
Netherlands Antilles,0.00122444304917
Sao Tome and Principe,0.00118679844767
Djibouti,0.00118286213161
Suriname,0.00118008508593
Chad,0.00117997415977
Fiji,0.00115744802958
Anguilla,0.00111288993826
British Indian Ocean Territory,0.001098351964
Haiti,0.0010899309261
Afghanistan  Islamic Republic of,0.00101809367178
Cook Islands,0.000944732384059
Brunei Darussalam,0.000934583031244
Curacao & St. Maarten,0.000710650130287
