Country,Authority Score
United States,1.88674510091
United Kingdom,0.0209809836416
Germany,0.0160385210363
Netherlands,0.0143687159904
France,0.0141838514126
Luxembourg,0.0106817882233
Japan,0.00734607872767
Ireland,0.0073444278177
Switzerland,0.00635580276968
Cayman Islands,0.00402681115459
China  P.R.: Hong Kong,0.00387605921533
Belgium,0.0036871075904
Spain,0.00343456804837
Canada,0.00325023703747
Italy,0.00315662068705
Jersey,0.00313482752095
Bahamas  The,0.00273504993236
Norway,0.00213355289067
Singapore,0.00204800998133
Sweden,0.00192975955021
Guernsey,0.00182014721419
Australia,0.00171542961782
China  P.R.: Mainland,0.00156555754309
South Africa,0.00137576373339
Saudi Arabia,0.00135272077433
Bermuda,0.00122237886598
Denmark,0.00110674970233
Isle of Man,0.00103512189705
Austria,0.000790192484748
Russian Federation,0.000749607003583
Portugal,0.000674641893672
Finland,0.000643632419996
Greece,0.000630867352863
Brazil,0.000473730180301
United Arab Emirates,0.000466120321861
Korea  Republic of,0.000452168134838
Virgin Islands  British,0.000407013729266
Bahrain  Kingdom of,0.000340803733058
Hungary,0.000333313274864
Mauritius,0.000322329768487
Cyprus,0.000315732769213
Israel,0.000312755786771
Kuwait,0.000289461227094
Qatar,0.000246890452121
Libya,0.000238422906663
Lebanon,0.000228402198652
Taiwan Province of China,0.000219663240087
Nigeria,0.00020677113946
Kazakhstan,0.00019361735621
Mexico,0.000191309317972
Ukraine,0.000190677254495
Barbados,0.000187069130452
Malaysia,0.000165645164484
New Zealand,0.000151563690771
India,0.000150251650717
Gibraltar,0.000146579685748
Malta,0.000145579369376
Turkey,0.000142949568971
Egypt,0.00013352420073
Chile,0.000130903590595
Poland,0.00012883425248
Czech Republic,0.000106392800545
China  P.R.: Macao,0.000105953908852
Angola,9.24923170043e-05
Iceland,7.90732798262e-05
Venezuela  Republica Bolivariana de,7.73817353906e-05
Thailand,7.48597618844e-05
Kenya,6.97758635818e-05
Liberia,6.89851589003e-05
