Country,Authority Score
United States,1.90852533792
United Kingdom,0.0178827075848
France,0.0129803128947
Netherlands,0.0127319671418
Germany,0.0106760841927
Cayman Islands,0.00923298761892
Luxembourg,0.00851433522715
Japan,0.0075736600209
Italy,0.00595411523219
Ireland,0.00521583425147
Switzerland,0.0042594514596
Spain,0.00414300017827
Australia,0.003632831335
Belgium,0.00319755254299
Canada,0.00289852848415
Sweden,0.00255057206043
Brazil,0.00210077343859
China  P.R.: Mainland,0.00176081191319
China  P.R.: Hong Kong,0.00163417113058
Singapore,0.00150500889451
Austria,0.00133761972469
Bermuda,0.00124621401909
Jersey,0.00124311857069
Norway,0.00117222029969
Korea  Republic of,0.00107238981452
Russian Federation,0.00106633223054
Mexico,0.000995970265541
Finland,0.000890528897934
Denmark,0.00086694315497
India,0.000709842260149
Portugal,0.000694284080874
Turkey,0.000673594620503
Poland,0.000661766337508
Taiwan Province of China,0.000657192974404
South Africa,0.000604522733533
Hungary,0.00044522855908
Malaysia,0.000437332151005
Cyprus,0.000429018483043
Curacao,0.000401474449055
United Arab Emirates,0.000391083670082
Indonesia,0.000357875406377
Guernsey,0.000352944491774
Greece,0.000344238007809
Thailand,0.000303587994599
Puerto Rico,0.00029521772205
Gibraltar,0.000286335643006
Czech Republic,0.000277442644824
Bahamas  The,0.00025056371054
New Zealand,0.00024382067203
Virgin Islands  British,0.000228358414944
Kazakhstan,0.000224453848669
Chile,0.000189510230382
Philippines,0.000182026385926
Saudi Arabia,0.000181202961146
Qatar,0.000170325782887
Mauritius,0.000150616966335
Israel,0.000149685269507
Colombia,0.000144059181973
Nigeria,0.000143151430932
Isle of Man,0.000135277841406
Egypt,0.000133215206998
Romania,0.00013009404708
Bahrain  Kingdom of,0.000117615829886
Slovak Republic,0.000108542474931
Ukraine,9.88559485973e-05
Venezuela  Republica Bolivariana de,9.69738555761e-05
Panama,9.60987854595e-05
Peru,9.41833960311e-05
Argentina,8.57701622082e-05
Malta,8.05760659839e-05
Croatia,6.5039409456e-05
Ghana,6.47451548064e-05
Uruguay,5.87365103151e-05
Vietnam,5.32074512332e-05
Iceland,5.06766411458e-05
Morocco,4.65935490514e-05
Marshall Islands  Republic of,4.6585199402e-05
Slovenia,4.42957843675e-05
Serbia  Republic of,4.15857331716e-05
Barbados,3.77558160926e-05
Bulgaria,3.71034947753e-05
Liberia,3.2813927915e-05
Lithuania,3.07827818969e-05
Kuwait,2.82814197934e-05
Sri Lanka,2.78772981633e-05
Kenya,2.16533467633e-05
Oman,2.14778323145e-05
Angola,2.01160746685e-05
Uganda,1.90204838602e-05
Lebanon,1.85407374743e-05
China  P.R.: Macao,1.85242047314e-05
Pakistan,1.85107314071e-05
Georgia,1.73025112897e-05
Mongolia,1.67776062212e-05
Tunisia,1.65780298743e-05
Iraq,1.50677044026e-05
Costa Rica,1.38889833413e-05
Azerbaijan  Republic of,1.37746393599e-05
Latvia,1.36346013502e-05
Dominican Republic,1.32896398349e-05
Cote d'Ivoire,1.28866305153e-05
Zambia,1.28599658419e-05
Papua New Guinea,1.28454633727e-05
Trinidad and Tobago,1.24509937446e-05
Bangladesh,1.21958244068e-05
Gabon,1.16572697612e-05
Ecuador,1.1271309711e-05
Libya,1.1234988905e-05
Guatemala,9.93401154043e-06
El Salvador,9.72993852282e-06
Algeria,9.42293965144e-06
Jordan,8.80438333982e-06
Estonia,8.52411880271e-06
Tanzania,8.08818831161e-06
Honduras,7.5027970349e-06
Liechtenstein,7.44801951755e-06
Iran  Islamic Republic of,7.10267253032e-06
Congo  Republic of,6.73701510145e-06
US Virgin Islands,6.65376635812e-06
Albania,5.89174164336e-06
Macedonia  FYR,5.88341796522e-06
Mozambique,5.78075376528e-06
Belarus,5.52943877345e-06
Bolivia,5.39659053425e-06
Senegal,5.20530619006e-06
French Territories: New Caledonia,4.87945753986e-06
Jamaica,4.633133306e-06
Cameroon,3.8954038493e-06
Congo  Democratic Republic of,3.80513904884e-06
Bosnia and Herzegovina,3.80068255857e-06
Armenia  Republic of,3.76298347995e-06
Paraguay,3.59823838391e-06
Montenegro,2.90670330983e-06
Zimbabwe,2.77742397057e-06
Curacao & St. Maarten,2.67530372661e-06
Botswana,2.64169875305e-06
Brunei Darussalam,2.57486684858e-06
Cambodia,2.47124066477e-06
French Territories: French Polynesia,2.46691605273e-06
Moldova,2.42309318795e-06
Seychelles,2.38885196162e-06
Sierra Leone,2.26480814864e-06
Uzbekistan,2.17013366552e-06
Namibia,2.07200448315e-06
Kyrgyz Republic,2.04479156929e-06
Aruba,1.84474548435e-06
Turks and Caicos Islands,1.54965877349e-06
Yemen  Republic of,1.49994125359e-06
Anguilla,1.42630950102e-06
St. Vincent and the Grenadines,1.37043212857e-06
Mali,1.30783073058e-06
Lao People's Democratic Republic,1.27824056459e-06
Sint Maarten,1.25022942865e-06
Belize,1.21716336903e-06
Fiji,1.06073554051e-06
Andorra,9.91265355955e-07
Rwanda,9.80634011886e-07
Cuba,9.53324404751e-07
Tajikistan,8.30662270872e-07
Afghanistan  Islamic Republic of,8.2541205893e-07
Togo,8.18980604269e-07
Kosovo  Republic of,7.68046273469e-07
Sudan,7.52927051661e-07
Niger,7.34463764121e-07
Chad,6.90975309262e-07
Nicaragua,6.63413469822e-07
Gambia  The,6.45742992599e-07
Burundi,6.09954719837e-07
Myanmar,6.07632737111e-07
Mauritania,5.86799652898e-07
Cabo Verde,5.47296534478e-07
Burkina Faso,5.44211008761e-07
Samoa,5.10572239227e-07
Syrian Arab Republic,5.03668362413e-07
Monaco,4.5503600204e-07
Madagascar,4.17289866262e-07
St. Lucia,3.7147692713e-07
Ethiopia,3.35019608912e-07
Sao Tome and Principe,2.98105657881e-07
Guyana,2.90411592962e-07
Guinea,2.85375008293e-07
Djibouti,2.44597563829e-07
US Pacific Islands,2.40533806631e-07
Benin,2.31360091901e-07
Greenland,2.20854572039e-07
Turkmenistan,2.13586812509e-07
Malawi,2.07757288925e-07
West Bank and Gaza,2.0435260969e-07
Swaziland,2.03891220232e-07
Suriname,1.3909333221e-07
Vanuatu,1.32654810416e-07
San Marino,1.1649576768e-07
Equatorial Guinea,1.05742252838e-07
Dominica,9.8835108639e-08
Nepal,9.13363310158e-08
Haiti,8.60712376068e-08
Grenada,6.64538127738e-08
Maldives,6.55197078384e-08
Korea  Democratic People's Rep. of,5.21479896741e-08
Central African Republic,5.18456165074e-08
Vatican,4.6865793615e-08
Antigua and Barbuda,4.19367197907e-08
Bhutan,3.8822446197e-08
Solomon Islands,3.62700263066e-08
Lesotho,3.51647648326e-08
American Samoa,2.72388028279e-08
Timor-Leste  Dem. Rep. of,2.5807661265e-08
Cook Islands,1.67440570343e-08
British Indian Ocean Territory,1.15778326301e-08
St. Kitts and Nevis,9.01167693636e-09
Tonga,9.005940257e-09
Guinea-Bissau,1.81812182323e-09
Netherlands Antilles,3.29597460436e-17
