Country,Eigenvector centrality
United States,4.35539878419
United Kingdom,0.565000675242
Japan,0.212239989723
China  P.R.: Mainland,0.185502225405
Netherlands,0.181754854766
Luxembourg,0.167623510428
Cayman Islands,0.118293000282
Ireland,0.0910008561019
Germany,0.0903597469289
France,0.0890295534156
Canada,0.0833109912617
Switzerland,0.048460573038
Taiwan Province of China,0.031573160593
Australia,0.0296653550639
Bermuda,0.0254039536855
Belgium,0.0227190373108
Singapore,0.0226430495459
Norway,0.0217094674169
Bahamas  The,0.0183245554602
Sweden,0.0169226940338
China  P.R.: Hong Kong,0.0168517047081
Italy,0.0152039190596
Saudi Arabia,0.013105174333
Spain,0.0128865814047
United Arab Emirates,0.0109990587351
Mexico,0.0105620674893
Virgin Islands  British,0.00969811596088
Denmark,0.00916409262066
Jersey,0.00815939307557
Korea  Republic of,0.0072447440253
Guernsey,0.00583832274304
Israel,0.00544670506099
Finland,0.00415102305374
Austria,0.00397523434981
Chile,0.00390026962821
Iraq,0.00366988847459
Brazil,0.0035323099853
South Africa,0.00350084120811
Kazakhstan,0.00308516551734
Russian Federation,0.00298393593678
Poland,0.00282120043871
Hungary,0.00259303805809
Peru,0.00227557064825
Argentina,0.00226241226501
Venezuela  Republica Bolivariana de,0.00216594672816
Portugal,0.00185565431364
Oman,0.0016375503268
Malaysia,0.00157263924392
Barbados,0.00154131579822
Colombia,0.00143570799222
India,0.00141719511631
Greece,0.00135025655427
Bahrain  Kingdom of,0.00133615837121
New Zealand,0.00130087268002
Kuwait,0.00126969048242
Panama,0.00104547067901
Anguilla,0.00102854269908
Isle of Man,0.000986265798875
Ukraine,0.000910233826676
Nigeria,0.000821599226465
Mauritius,0.000815427202312
Trinidad and Tobago,0.000807714095856
Thailand,0.000799561620598
Curacao & St. Maarten,0.000773461513873
Qatar,0.000672681860996
Uruguay,0.000629393407939
Libya,0.000581292044708
Philippines,0.000553398816044
Cyprus,0.000533023269852
Netherlands Antilles,0.000522845211053
Azerbaijan  Republic of,0.000505898702579
Iceland,0.000493155000688
Guatemala,0.000433377087595
Lebanon,0.0004207568063
Turkey,0.000397723554939
Ecuador,0.000384908168922
Egypt,0.000377841961387
Angola,0.000357957658418
Indonesia,0.000350867519452
Czech Republic,0.00035065735236
China  P.R.: Macao,0.000317830427875
Dominican Republic,0.000313415581512
Brunei Darussalam,0.000288726099291
Honduras,0.000273415758292
Jordan,0.000226255580869
Vietnam,0.000203857145672
Botswana,0.000203552250103
Malta,0.000197542806769
Liechtenstein,0.000190614822453
Costa Rica,0.000190423058909
Gibraltar,0.000185401788774
El Salvador,0.000184623720737
Bolivia,0.000164292114323
Bangladesh,0.000155103445145
