Country,Eigenvector centrality
United States,4.422207471875166
United Kingdom,0.3055571605682682
Cayman Islands,0.1580700743874862
Netherlands,0.14794908647475738
Japan,0.10823144344947641
Canada,0.09213862531141692
Luxembourg,0.09204406873042148
Ireland,0.07925393704865437
France,0.055537094014721754
Switzerland,0.054167176633088024
Germany,0.04539322008349444
Bermuda,0.04355561587916194
Australia,0.035089990751552405
Singapore,0.028526306028377208
Brazil,0.019615840339455334
China  P.R.: Mainland,0.01820547887157337
China  P.R.: Hong Kong,0.01712237169888714
Mexico,0.01701068394931992
Korea  Republic of,0.01411761320135505
Sweden,0.012907049902317894
India,0.011665849702528118
Spain,0.011341100009025237
Belgium,0.011187579958833214
Italy,0.00974526650474163
Taiwan Province of China,0.009490312790080502
Jersey,0.006554379957544384
Norway,0.006553827312292306
Denmark,0.005661574084293305
Curacao,0.005167228471605943
South Africa,0.005026580073099787
Israel,0.004677099539306639
Russian Federation,0.004565544546255368
Indonesia,0.004378470238071464
Chile,0.004242983986882776
Mauritius,0.004058992548691165
Finland,0.00361366277029044
Virgin Islands  British,0.0035201119557473396
Thailand,0.003080470215269676
Austria,0.0028176583837921324
Malaysia,0.002794936045533498
Poland,0.002598871030389213
Guernsey,0.002481259973912027
United Arab Emirates,0.002448416778800651
Argentina,0.002434729295878518
Colombia,0.0024000230327853515
Panama,0.00232006279153832
Turkey,0.0022991585084807882
Peru,0.00206919311439328
Bahamas  The,0.001907757227030124
Egypt,0.0018937281076892487
Kazakhstan,0.0018715863181828097
New Zealand,0.0017094721425856341
Philippines,0.0016159928703281833
Barbados,0.0015828298686128535
Hungary,0.0015197287961938421
Venezuela  Republica Bolivariana de,0.001090121140236328
Portugal,0.0009872730932906637
Marshall Islands  Republic of,0.0009052424105723647
Liberia,0.0007462169709189768
Saudi Arabia,0.0007214916409904259
Czech Republic,0.0006725280598090575
Nigeria,0.0005829806709197351
Qatar,0.0005727035083792553
Greece,0.0005459049482772598
Ukraine,0.0004994818768002075
Kuwait,0.0004378108251155743
Puerto Rico,0.00042340166017654815
Dominican Republic,0.00041025630042869766
Isle of Man,0.0003764139859151126
Uruguay,0.00037087526938462306
Mozambique,0.000361617385944087
Romania,0.0003575911231291022
Jordan,0.00035758598202798036
Costa Rica,0.0003325083008566542
El Salvador,0.0003312607700427418
Guatemala,0.00032716312415292774
Ecuador,0.00032713189257337245
Pakistan,0.0003168277243266153
Cyprus,0.00025625985238335574
Bangladesh,0.00025556333370814374
Bahrain  Kingdom of,0.00023163957832901218
Sri Lanka,0.00022679616490758558
Ghana,0.00022316141356814714
Vietnam,0.00020487289052173723
Gibraltar,0.00020202587707318672
Croatia,0.00019299166260034603
Morocco,0.00017536532437183687
Aruba,0.00017355380565226843
Iceland,0.00016778067670666588
Serbia  Republic of,0.00016251877423848217
Malta,0.0001569339977147581
Lebanon,0.00015329681306486614
Paraguay,0.00015305334437829322
Honduras,0.000140238380305594
Slovenia,0.00013641126230526547
Kenya,0.00011238901585585165
Bulgaria,0.00011084946238846523
China  P.R.: Macao,0.00010662880500412258
Trinidad and Tobago,0.00010161216131371551
Papua New Guinea,9.972762608264587e-05
Angola,9.834913415406892e-05
Tunisia,9.716552696837594e-05
Turkmenistan,9.36816182768551e-05
Lithuania,9.344183811821593e-05
Cote d'Ivoire,8.604424214960853e-05
Slovak Republic,8.477539328224808e-05
Mongolia,7.743931268632649e-05
Jamaica,7.02579624030767e-05
Georgia,6.844926109427471e-05
Oman,6.733267515838617e-05
Azerbaijan  Republic of,6.615903438999042e-05
Bolivia,6.0097555990366625e-05
Zambia,5.855171936421916e-05
Anguilla,5.8269318564278466e-05
Latvia,4.690311180006161e-05
Iraq,4.6175689345764333e-05
Belize,3.754274782199355e-05
Gabon,3.078193092977097e-05
Armenia  Republic of,3.051881854532735e-05
Macedonia  FYR,3.0033443870777084e-05
Estonia,2.9137437792533798e-05
Tanzania,2.8850858167023873e-05
Belarus,2.7058190344433226e-05
Senegal,2.341145744355739e-05
Nicaragua,2.260722615549266e-05
Turks and Caicos Islands,1.9902439372844955e-05
Namibia,1.9205347086505624e-05
Mauritania,1.8926550085955378e-05
Albania,1.7147049413509383e-05
Cameroon,1.4910181388330349e-05
Liechtenstein,1.3778733490018055e-05
Suriname,1.3162692330767904e-05
Ethiopia,1.2881521714518411e-05
Congo  Republic of,1.2324188942897497e-05
Uganda,1.1543020716403749e-05
Kyrgyz Republic,9.102880191456264e-06
Algeria,8.836507884937345e-06
Rwanda,7.759169863889268e-06
Botswana,7.248818565078029e-06
Cambodia,6.230555702202105e-06
Seychelles,5.7905824549291386e-06
Bosnia and Herzegovina,5.784566990360711e-06
Antigua and Barbuda,4.994696340886654e-06
Zimbabwe,4.367705177834382e-06
West Bank and Gaza,3.893650122019542e-06
Montenegro,3.873404256094785e-06
Iran  Islamic Republic of,3.7624437506920237e-06
Brunei Darussalam,3.139791721979957e-06
Greenland,2.9558014977383086e-06
French Territories: New Caledonia,2.8518591655865806e-06
Timor-Leste  Dem. Rep. of,2.4812969984333905e-06
Fiji,2.4610202557665467e-06
Mali,2.4430537701277717e-06
Solomon Islands,2.387088181600314e-06
Haiti,2.3088684170362773e-06
Congo  Democratic Republic of,2.2376260413956502e-06
Monaco,2.1790640955916655e-06
Burkina Faso,1.9610573735319943e-06
Libya,1.892370614523257e-06
US Virgin Islands,1.749774213485037e-06
Uzbekistan,1.6518047422137988e-06
Sierra Leone,1.6377406243844208e-06
Grenada,1.614766678547182e-06
Togo,1.4736709734387387e-06
Myanmar,1.3285177673091584e-06
Chad,1.2723620584427103e-06
Swaziland,1.1974495319337723e-06
French Territories: French Polynesia,1.1131630034498077e-06
Moldova,1.0983035345010952e-06
Samoa,8.068695832049556e-07
Burundi,7.787790996838337e-07
Malawi,7.598354429590971e-07
St. Vincent and the Grenadines,7.274746632062171e-07
Cuba,7.231808015156268e-07
Lao People's Democratic Republic,7.084586984234682e-07
Madagascar,5.95002710482661e-07
Andorra,5.200968271833286e-07
Yemen  Republic of,5.151542347976528e-07
Niger,5.066760920052951e-07
Central African Republic,5.002300743323519e-07
St. Lucia,3.9726537872173044e-07
Cabo Verde,3.127689451582922e-07
Sudan,2.7399870442821227e-07
Guinea,2.2262762534338355e-07
Gambia  The,2.214556362442334e-07
Guyana,2.1834476145805598e-07
Syrian Arab Republic,2.130721718632905e-07
Benin,2.034538098060679e-07
Nepal,2.0260074633290865e-07
US Pacific Islands,1.6528491236595263e-07
Equatorial Guinea,1.2816159853908732e-07
Tajikistan,1.2806214655224814e-07
Vatican,1.2152893384080593e-07
Kosovo  Republic of,1.0474669217515168e-07
Dominica,9.176161198986147e-08
Sint Maarten,8.211712017065982e-08
Maldives,7.537046251067542e-08
Sao Tome and Principe,6.555116537895601e-08
San Marino,6.262130593460642e-08
Cook Islands,6.100164545337942e-08
Korea  Democratic People's Rep. of,5.7599034917035134e-08
Djibouti,5.401330434716598e-08
Lesotho,5.2836404312435925e-08
St. Kitts and Nevis,4.181612965934444e-08
Curacao & St. Maarten,3.738673113389394e-08
Vanuatu,3.7322143045309305e-08
Afghanistan  Islamic Republic of,2.8925574721596758e-08
Bhutan,1.0145446447632983e-08
British Indian Ocean Territory,7.765131924996115e-09
American Samoa,3.77974322479315e-09
Tonga,1.3462281691807119e-09
Guinea-Bissau,1.1826870715940694e-09
Netherlands Antilles,0.0
