Country,Hub Score
United States,1.90020361027
United Kingdom,0.0235028228616
France,0.0140235152229
Germany,0.0125622126884
Netherlands,0.011316715416
Luxembourg,0.00844200838714
Cayman Islands,0.00758121174544
Japan,0.00734807160196
Ireland,0.00614848213563
Switzerland,0.00547753637631
Spain,0.00516507020729
Italy,0.00494343555804
Belgium,0.0035798172924
Canada,0.00313358981185
Australia,0.0029879860331
China  P.R.: Hong Kong,0.0023195924123
Brazil,0.00219314084554
Sweden,0.00204070383414
Singapore,0.00190170156806
Portugal,0.0016600625659
China  P.R.: Mainland,0.00151867088373
Jersey,0.00145964944705
Bermuda,0.00114884673128
Korea  Republic of,0.00107972304796
Russian Federation,0.00103392597189
India,0.00101039834756
Denmark,0.000983018372108
Norway,0.000933078511241
Austria,0.000905583523761
Mauritius,0.00082065942216
Taiwan Province of China,0.000722055046943
Turkey,0.000721456010406
Bahamas  The,0.000716122117248
Greece,0.000698207840154
Trinidad and Tobago,0.000653255578367
Finland,0.000651172723856
Mexico,0.000639460438278
South Africa,0.000583525984528
Poland,0.000543630927827
Guernsey,0.000518648824701
United Arab Emirates,0.00050511778333
Curacao,0.00048375196083
Hungary,0.000395582475188
Bahrain  Kingdom of,0.000373052681646
Qatar,0.000354742480287
Indonesia,0.000330778196873
Saudi Arabia,0.000321439370219
Thailand,0.000313830830614
Malaysia,0.000312766610545
Cyprus,0.000286624629161
Isle of Man,0.000271685808619
Czech Republic,0.000256127669267
Puerto Rico,0.000230541829545
New Zealand,0.000212014124949
Kazakhstan,0.000195592184858
Israel,0.000194451610401
Chile,0.000168871483553
Malta,0.000162523110052
Egypt,0.000162343725134
Romania,0.000162117359291
Virgin Islands  British,0.000152219633705
Philippines,0.00013972617459
Ukraine,0.000129637798777
Argentina,0.000127691912141
Panama,0.000123686290043
Nigeria,0.000117994664542
Angola,9.98719736757e-05
Iceland,9.04716167858e-05
Peru,8.56012956329e-05
Venezuela  Republica Bolivariana de,8.26404821919e-05
Slovak Republic,8.12603803111e-05
Colombia,8.0794059234e-05
Gibraltar,7.62162165891e-05
Kuwait,7.59474553197e-05
Marshall Islands  Republic of,6.79863931592e-05
Barbados,6.39366010091e-05
Croatia,6.12816861298e-05
Liberia,5.76681548287e-05
Morocco,5.32181942095e-05
Bulgaria,5.29400021051e-05
Vietnam,4.6928007769e-05
Oman,3.83839491281e-05
Ghana,3.78584147507e-05
Iran  Islamic Republic of,3.72266503146e-05
Serbia  Republic of,3.59120205989e-05
Slovenia,3.40400993771e-05
Pakistan,3.05936889717e-05
China  P.R.: Macao,2.93812202192e-05
Uruguay,2.80609997978e-05
Lithuania,1.91995422078e-05
Sri Lanka,1.7737401433e-05
Zambia,1.58882576309e-05
Tunisia,1.58000886143e-05
Latvia,1.53366558525e-05
Lebanon,1.50408816344e-05
Algeria,1.45723281751e-05
Guatemala,1.39843434539e-05
Libya,1.37282125088e-05
Liechtenstein,1.31290696738e-05
Kenya,1.17913810285e-05
Azerbaijan  Republic of,1.16793078036e-05
Estonia,1.08003992549e-05
El Salvador,1.07595002166e-05
Bangladesh,1.05136953805e-05
Jordan,1.01062494628e-05
Cote d'Ivoire,1.0020995801e-05
Netherlands Antilles,1.00181559706e-05
Congo  Republic of,9.35509140619e-06
Dominican Republic,8.04777906693e-06
Costa Rica,7.95703005671e-06
Ecuador,7.42938770403e-06
Papua New Guinea,6.84103674291e-06
Aruba,6.43994161846e-06
Albania,6.23487066462e-06
Senegal,6.11652636805e-06
Honduras,6.08035254773e-06
Cameroon,5.81770063005e-06
Jamaica,5.74964305748e-06
Brunei Darussalam,5.59995800169e-06
Gabon,5.37571842909e-06
French Territories: New Caledonia,5.34053688162e-06
