Country,Hub Score
United States,1.85323524005
Luxembourg,0.0109632738079
United Kingdom,0.00831685312781
Japan,0.00704865740764
Germany,0.00603020919009
Netherlands,0.00586413942667
Ireland,0.0052317307333
France,0.00509674378894
China  P.R.: Hong Kong,0.00393756748992
Switzerland,0.00299676183323
Canada,0.00195351199432
Italy,0.00193875909391
Cayman Islands,0.00179367801154
Belgium,0.00165673158841
Norway,0.00165423420689
Bermuda,0.00158340446834
Spain,0.00111714872411
Singapore,0.00107844811494
Australia,0.00106759967384
Sweden,0.00100055658498
Jersey,0.000919586940942
China  P.R.: Mainland,0.000879741593086
Denmark,0.000649997131363
Finland,0.000597773795558
Guernsey,0.000594508719318
South Africa,0.000547424995232
Austria,0.000482758455192
Saudi Arabia,0.000447506332054
Korea  Republic of,0.000401984112426
Virgin Islands  British,0.000347350202846
Gibraltar,0.000333862020533
Russian Federation,0.000333667976931
Isle of Man,0.000319768992108
Portugal,0.000282885763188
Brazil,0.000276047933936
United Arab Emirates,0.0002696889562
Curacao & St. Maarten,0.000200403822262
Greece,0.000183250616351
Israel,0.00016191531185
Mauritius,0.000160281546185
Hungary,0.000137017597312
Kuwait,0.000128387030607
Kazakhstan,0.000127669404
Bahamas  The,0.0001181907262
Taiwan Province of China,0.000112858486384
Mexico,0.00011117533793
Chile,9.76106404148e-05
Malaysia,9.0649248916e-05
New Zealand,8.09702172089e-05
China  P.R.: Macao,7.56800457905e-05
India,7.51897861023e-05
Turkey,6.1008385567e-05
Cyprus,5.8449194531e-05
Bahrain  Kingdom of,5.68266503924e-05
Poland,5.52659023277e-05
Thailand,5.28035437894e-05
Czech Republic,4.77378948713e-05
Qatar,4.69514700498e-05
Liechtenstein,3.9823981091e-05
Iceland,3.39146332659e-05
Libya,2.88755586896e-05
Barbados,2.84777478644e-05
Lebanon,2.81569542272e-05
Malta,2.61715261252e-05
Slovak Republic,2.51989246479e-05
Nigeria,2.50808447178e-05
Slovenia,2.01002052405e-05
Peru,1.90771837395e-05
Angola,1.67541740794e-05
Philippines,1.60158472877e-05
Colombia,1.59794010341e-05
Panama,1.46482013094e-05
Indonesia,1.41834764504e-05
Egypt,1.22057844596e-05
Latvia,1.11173058423e-05
Oman,9.99868256004e-06
Bulgaria,9.51216456245e-06
Kenya,9.16743109216e-06
Lithuania,8.90307375998e-06
Samoa,8.85856170894e-06
Estonia,8.26781386039e-06
Ukraine,8.20843992913e-06
Uruguay,7.99422288238e-06
Bolivia,7.47900692852e-06
Bangladesh,7.41708513089e-06
Jordan,7.18589850466e-06
Croatia,7.12986280616e-06
Argentina,6.95392177269e-06
Trinidad and Tobago,6.19000276517e-06
Liberia,5.40834164611e-06
Pakistan,5.3489882522e-06
Brunei Darussalam,5.25979752763e-06
Romania,4.54058446848e-06
Ghana,4.14643340308e-06
Venezuela  Republica Bolivariana de,4.04500532831e-06
Iraq,3.86202766235e-06
Marshall Islands  Republic of,3.46843764557e-06
Iran  Islamic Republic of,3.46745174814e-06
Vietnam,3.39539486608e-06
Cook Islands,3.10766556157e-06
US Virgin Islands,2.99628590134e-06
Morocco,2.7332222456e-06
Seychelles,2.67448688006e-06
Algeria,2.61963286678e-06
Belize,2.6180165283e-06
Kosovo  Republic of,2.44821513047e-06
Botswana,2.41364280775e-06
Costa Rica,2.38512990243e-06
Uganda,2.28912062475e-06
American Samoa,2.09855369527e-06
Afghanistan  Islamic Republic of,2.03591966281e-06
Anguilla,1.98194730191e-06
Zambia,1.71003844858e-06
Tunisia,1.68969372542e-06
Mozambique,1.68295106658e-06
Serbia  Republic of,1.54786320316e-06
Sri Lanka,1.50166957219e-06
Tanzania,1.48048944602e-06
Gabon,1.44920769408e-06
Azerbaijan  Republic of,1.25134754519e-06
Nepal,9.75430860469e-07
Dominican Republic,9.59325077331e-07
Ecuador,9.16626173808e-07
Cote d'Ivoire,8.81244568152e-07
St. Vincent and the Grenadines,7.96994648697e-07
Cameroon,7.88367916359e-07
Aruba,6.75031441567e-07
Sudan,6.60808506451e-07
Jamaica,6.32730688301e-07
Kyrgyz Republic,6.2646444994e-07
Cuba,6.20910682333e-07
Andorra,6.07216773797e-07
Moldova,5.91321398064e-07
Honduras,5.76944357178e-07
West Bank and Gaza,5.69317319187e-07
Yemen  Republic of,5.67883003479e-07
Macedonia  FYR,5.65115566635e-07
Swaziland,5.59506124846e-07
Guatemala,5.46799239413e-07
Syrian Arab Republic,5.36948318339e-07
Namibia,4.82382328391e-07
Albania,4.73190240903e-07
Georgia,4.72166156904e-07
Congo  Democratic Republic of,4.71885883457e-07
Malawi,4.683159005e-07
St. Lucia,4.66191359596e-07
Fiji,4.58890369886e-07
Belarus,4.52499052245e-07
Sierra Leone,4.48754225481e-07
Ethiopia,4.24665324157e-07
Djibouti,4.12795558609e-07
Senegal,4.02395999736e-07
Mongolia,3.97717971477e-07
Timor-Leste  Dem. Rep. of,3.93958719011e-07
Cambodia,3.57754585895e-07
Zimbabwe,3.52974428569e-07
Uzbekistan,3.52739711794e-07
Turks and Caicos Islands,3.39881294796e-07
Monaco,3.25275587279e-07
French Territories: New Caledonia,3.06971150037e-07
Paraguay,2.96252275174e-07
Madagascar,2.9234353453e-07
Lesotho,2.8249973124e-07
El Salvador,2.72119096856e-07
St. Kitts and Nevis,2.4264882584e-07
Papua New Guinea,2.28018077031e-07
Congo  Republic of,2.27635533707e-07
Rwanda,2.17844724421e-07
French Territories: French Polynesia,2.02306200684e-07
Cabo Verde,1.90528565017e-07
Nicaragua,1.75956767968e-07
Haiti,1.73061589477e-07
Guyana,1.71646790665e-07
San Marino,1.61375720672e-07
Mauritania,1.60377719111e-07
Armenia  Republic of,1.59294881626e-07
Solomon Islands,1.50421225423e-07
Gambia  The,1.46306485482e-07
Myanmar,1.42610778625e-07
Mali,1.42120560966e-07
Vanuatu,1.39974197143e-07
US Pacific Islands,1.38669549492e-07
Vatican,1.29784112526e-07
Guinea,1.251855495e-07
Suriname,1.18614513836e-07
Montenegro,1.17179951318e-07
Dominica,1.13797953345e-07
Bosnia and Herzegovina,1.10494208927e-07
Burkina Faso,9.46702999264e-08
Benin,9.36243447422e-08
Turkmenistan,7.72838057851e-08
Togo,7.10268915997e-08
Lao People's Democratic Republic,6.60076761427e-08
Maldives,5.35300809497e-08
Equatorial Guinea,5.3042181777e-08
British Indian Ocean Territory,5.14970003203e-08
Chad,4.27411622136e-08
Grenada,4.15173167043e-08
Bhutan,3.83783408185e-08
Niger,3.0410242673e-08
Puerto Rico,2.98491284207e-08
