Country,PageRank centrality
United States,0.0870863649567
Netherlands,0.0606687947872
United Kingdom,0.0597244413494
France,0.0513596330781
Luxembourg,0.0450329687343
Germany,0.0366859691353
Japan,0.0233293753433
Switzerland,0.0208024316642
Italy,0.0201618274065
Belgium,0.0196954738256
China  P.R.: Hong Kong,0.0186231775379
Kuwait,0.0177699050936
Ireland,0.0153094551819
Bermuda,0.0147727565839
Austria,0.01265272327
Denmark,0.011656845168
Jersey,0.0112337446895
Sweden,0.0112088274666
Mauritius,0.0106670917414
Canada,0.0104282032666
Singapore,0.0100390554072
China  P.R.: Mainland,0.00991999842741
Korea  Republic of,0.00990310796627
Norway,0.0097144095275
Spain,0.009456350481
Russian Federation,0.00865915551078
South Africa,0.00825666823315
Guernsey,0.00788187382777
Australia,0.0076392790253
Finland,0.00674619026195
Curacao & St. Maarten,0.00628566747309
Cayman Islands,0.00615878469705
Portugal,0.00552586451128
Bahrain  Kingdom of,0.00499758777412
Greece,0.00478682854376
Lebanon,0.00472540419504
Cyprus,0.00458295380495
Barbados,0.00456219881776
United Arab Emirates,0.00455821762475
Virgin Islands  British,0.0043101825456
Saudi Arabia,0.00419940914237
Slovenia,0.00411824356498
Dominica,0.0040981890373
Bahamas  The,0.0039757732163
Uruguay,0.00386647928371
Thailand,0.00378591724406
Nicaragua,0.00368092416475
Andorra,0.00360309940833
Taiwan Province of China,0.00359249771253
Isle of Man,0.00342259259854
Mexico,0.00332733217648
Samoa,0.00328473772906
Colombia,0.00326462742773
Panama,0.00322712785439
Chile,0.00315065406179
Costa Rica,0.00307441326268
Hungary,0.00301288069286
Israel,0.00299167886721
Burkina Faso,0.00279022580992
Brazil,0.0027683399662
Jamaica,0.0027522745705
Brunei Darussalam,0.00266896694033
Kazakhstan,0.00263776246456
Liechtenstein,0.00263183854077
Malaysia,0.00262437756381
Oman,0.0026164161503
India,0.00258451142552
Gibraltar,0.00257304391006
St. Lucia,0.00249928109573
Iceland,0.00244765397865
Estonia,0.00241320937735
Afghanistan  Islamic Republic of,0.00238177725937
Haiti,0.00235411721673
Malta,0.0023529144986
Poland,0.00234336255048
Guatemala,0.00230441492259
Ecuador,0.00228866993076
Honduras,0.00224374502117
Czech Republic,0.00223619643737
Turkey,0.00223566349138
Libya,0.00222237920046
Argentina,0.00218824921847
Botswana,0.0021374517463
China  P.R.: Macao,0.0020723868948
Cuba,0.00206626048606
British Indian Ocean Territory,0.00202561902803
Iran  Islamic Republic of,0.00200876592695
Jordan,0.00200654966
Grenada,0.00200620812701
Swaziland,0.00198057285689
Slovak Republic,0.00195796603029
Qatar,0.00195190765575
Belize,0.0019148454338
Togo,0.00191309527812
Guyana,0.00190895578522
Liberia,0.00190781931871
St. Kitts and Nevis,0.00189651046085
Vanuatu,0.00189601184186
Seychelles,0.00186600850654
Lesotho,0.00186345456581
Paraguay,0.00185197667504
Egypt,0.00184704884221
Suriname,0.00184438102412
Djibouti,0.00178536869493
Dominican Republic,0.00178478747863
Malawi,0.00177617317035
El Salvador,0.00176575848946
Peru,0.00174708937029
Uganda,0.00173605459459
New Zealand,0.00172984834966
Latvia,0.00172616892798
Monaco,0.0016849347775
Timor-Leste  Dem. Rep. of,0.00166833105081
Namibia,0.001638106155
Kenya,0.00163215871866
Cambodia,0.0016241690914
Lithuania,0.00162266822126
Rwanda,0.00162029601377
Moldova,0.00161218118704
Nepal,0.00157177187645
Nigeria,0.00155715975407
Tanzania,0.00155440279556
Bulgaria,0.00151585403151
US Virgin Islands,0.00151461037845
Azerbaijan  Republic of,0.00150459516112
Trinidad and Tobago,0.00149480979815
Papua New Guinea,0.00148982056705
Bolivia,0.00148919912419
Croatia,0.00148178948882
Aruba,0.00145887888359
Venezuela  Republica Bolivariana de,0.0014439210307
Anguilla,0.00144273766608
Bangladesh,0.00144021624914
Guinea,0.00140637061839
Burundi,0.00140595086913
San Marino,0.00140510569892
Madagascar,0.00138732699174
Georgia,0.0013700637441
Chad,0.00136878316919
Armenia  Republic of,0.00135974321235
Yemen  Republic of,0.00135725239694
Cook Islands,0.00135626850693
St. Vincent and the Grenadines,0.00135154312086
Gambia  The,0.00134768226612
Philippines,0.00133874565088
Zambia,0.00132426705937
Cabo Verde,0.00130505892929
Antigua and Barbuda,0.0012994966186
Algeria,0.00129672222003
Tunisia,0.00128226815021
Macedonia  FYR,0.00128063880193
Kyrgyz Republic,0.00127111282698
Kosovo  Republic of,0.00126938011527
Greenland,0.00125767823977
Bhutan,0.00125154344635
Mauritania,0.00124562270341
Mongolia,0.00124111488212
Gabon,0.0012174675921
Sudan,0.00121635722544
Korea  Democratic People's Rep. of,0.00121375392267
Angola,0.00121029903015
Central African Republic,0.0012074503072
Pakistan,0.00120313916116
Albania,0.00118913779792
Ukraine,0.00118572645417
Syrian Arab Republic,0.00117774580732
Serbia  Republic of,0.00117633603072
Uzbekistan,0.00117208322198
Tonga,0.00116196585704
Zimbabwe,0.00115707175724
Tajikistan,0.00115158916569
Turks and Caicos Islands,0.00114800033399
Indonesia,0.00113881799618
Mozambique,0.00113582949834
Sierra Leone,0.00112763502093
Vietnam,0.00112711954174
Romania,0.00112640654564
Niger,0.00112172636884
Marshall Islands  Republic of,0.00111684342788
Lao People's Democratic Republic,0.00109194486749
Cote d'Ivoire,0.0010821211268
Morocco,0.00107915073262
West Bank and Gaza,0.0010720785698
Fiji,0.00107192197646
Cameroon,0.00107075966038
Congo  Republic of,0.00106884887433
French Territories: New Caledonia,0.00105712428814
Congo  Democratic Republic of,0.00104399301868
Mali,0.00103937051871
Belarus,0.00103886229955
Solomon Islands,0.00103187047468
Ethiopia,0.00102496702793
Guinea-Bissau,0.00102192402925
Sri Lanka,0.00102149651803
Equatorial Guinea,0.00100988440542
Myanmar,0.000999313852232
Benin,0.00099516238963
Senegal,0.000990318477598
US Pacific Islands,0.000976767286261
Montenegro,0.000942648315983
Vatican,0.000936140232688
Netherlands Antilles,0.000931887281909
Bosnia and Herzegovina,0.000931374358083
Puerto Rico,0.000924843989938
Ghana,0.000917516511379
Maldives,0.000894376952127
Turkmenistan,0.00087868628257
American Samoa,0.000876520136562
French Territories: French Polynesia,0.000872318258246
Iraq,0.000867545451414
Sao Tome and Principe,0.000837839432878
Curacao,0.000742382468276
Sint Maarten,0.000742382468276
