Country,PageRank centrality
United States,0.127222990068
United Kingdom,0.0588649321209
France,0.0297711691159
Netherlands,0.0278921903899
Luxembourg,0.0207211137337
Germany,0.0201658787508
Cayman Islands,0.0174933411394
Switzerland,0.017010591621
Brazil,0.0166719235811
Italy,0.0147169093106
Spain,0.0137441777709
Canada,0.0132474301746
Japan,0.0130457429578
Australia,0.012907809922
India,0.0128236705836
China  P.R.: Mainland,0.0126063388484
Ireland,0.0114247420225
Belgium,0.0094327158738
China  P.R.: Hong Kong,0.00930322418147
Turkey,0.00917284676392
Mexico,0.00855566378477
Russian Federation,0.00814285184402
Korea  Republic of,0.00799134806078
Sweden,0.00775332396385
Indonesia,0.0073472714348
Romania,0.00719344273424
Curacao,0.00718062991646
South Africa,0.00713114295829
Poland,0.00702647062894
Austria,0.00665244965301
Portugal,0.00616700979938
Croatia,0.00559966787684
Denmark,0.00557918396767
Thailand,0.00522911933222
Hungary,0.0051997525229
Singapore,0.00516196001092
Bermuda,0.00512397215842
Panama,0.0051180302689
Bulgaria,0.0049382277995
Bahamas  The,0.0049356225335
Ghana,0.00488243821911
Ukraine,0.00478262213762
Cyprus,0.00476687811643
Bosnia and Herzegovina,0.00458086385717
Greece,0.00446550114671
Malaysia,0.00446407293531
Serbia  Republic of,0.00445117296904
Norway,0.00444020528126
Maldives,0.00434412078037
Jersey,0.00429552296076
Sri Lanka,0.0041810886511
Finland,0.00417178512929
Czech Republic,0.00413284867866
Virgin Islands  British,0.00400016091199
Iraq,0.0039994315805
Morocco,0.00395506836033
Egypt,0.00387791878982
Peru,0.0038626100923
Philippines,0.0037884614917
Bahrain  Kingdom of,0.00369699093984
Macedonia  FYR,0.00368601496738
Taiwan Province of China,0.00367586995438
Marshall Islands  Republic of,0.00366722419192
Montenegro,0.00365530464162
Venezuela  Republica Bolivariana de,0.00358526149044
New Zealand,0.00356372066315
Sierra Leone,0.00355087661565
Ethiopia,0.00353438765316
Senegal,0.00351073598344
Vietnam,0.00350347319949
Pakistan,0.00343516507783
Mauritius,0.00342766354741
Sudan,0.00341880919309
Belarus,0.003418648229
Mali,0.00337325696187
Lithuania,0.00335096734392
Qatar,0.00332611438616
Cameroon,0.003308525695
Nigeria,0.00321871313066
Cote d'Ivoire,0.00317425102769
Congo  Democratic Republic of,0.0031198484323
Myanmar,0.00311933751442
Tunisia,0.00310449082814
Latvia,0.00309629422092
Greenland,0.00304690842184
Kazakhstan,0.00300361540243
Albania,0.00300098583011
Chile,0.00298761293894
Mauritania,0.00294739587009
Liberia,0.00289597263068
Benin,0.00286505290878
Gabon,0.00285534584929
Honduras,0.00284565125548
Argentina,0.00283809436958
Israel,0.00283218971235
Zambia,0.0028280559093
Zimbabwe,0.00273684820151
Mongolia,0.00269474778576
Slovak Republic,0.0026726337603
Barbados,0.00262036312851
Niger,0.0025758067418
Georgia,0.00257371310597
Congo  Republic of,0.00255159975638
Jordan,0.00255141709757
Turks and Caicos Islands,0.00253628103883
Guinea,0.00251738932582
Moldova,0.00250073098217
Cabo Verde,0.00249390203811
Turkmenistan,0.00247722009805
Colombia,0.00243388331947
Angola,0.0024248149016
United Arab Emirates,0.00240947823943
Guernsey,0.002396085841
Malta,0.00238015763312
Madagascar,0.00237377197946
Armenia  Republic of,0.00236496725793
Cambodia,0.00236469078796
Gibraltar,0.00232696533299
Syrian Arab Republic,0.0023043113942
Estonia,0.00227966224697
Slovenia,0.0022740659325
Namibia,0.00223051439367
Bangladesh,0.002221773732
Trinidad and Tobago,0.00222095029715
Mozambique,0.0021736885152
Algeria,0.00217180427502
Kenya,0.00216868132419
Isle of Man,0.00214937248726
St. Lucia,0.00212040533765
Kyrgyz Republic,0.00210110672997
Uganda,0.0020480363205
Korea  Democratic People's Rep. of,0.00204158503743
El Salvador,0.00202729577112
French Territories: French Polynesia,0.00201303267792
San Marino,0.00200204054152
Sao Tome and Principe,0.00200121475397
Rwanda,0.00197274042672
Fiji,0.00197167260666
Central African Republic,0.00195044825422
Aruba,0.00193858315561
Tanzania,0.00191563863879
Iceland,0.00191092630818
St. Vincent and the Grenadines,0.00190191867853
Swaziland,0.00187547870612
French Territories: New Caledonia,0.00187455045986
Paraguay,0.0018686116053
Saudi Arabia,0.00186209502569
Uruguay,0.00184713129391
Yemen  Republic of,0.00178962852386
Lao People's Democratic Republic,0.00178026075335
Belize,0.00176605132153
Liechtenstein,0.0017527579577
Malawi,0.00174600932785
Togo,0.00169383947801
Dominican Republic,0.00165678924521
Tajikistan,0.00165563842819
Afghanistan  Islamic Republic of,0.00165157230144
Iran  Islamic Republic of,0.00164953872183
China  P.R.: Macao,0.00160190503446
Costa Rica,0.00160128001008
Guatemala,0.00159813800623
Uzbekistan,0.00159375504276
Equatorial Guinea,0.00156467393336
Papua New Guinea,0.00155480323099
Azerbaijan  Republic of,0.00154355607727
Oman,0.00154272833207
Nepal,0.00152970994733
Solomon Islands,0.0015032562212
Seychelles,0.0014857051246
