time step, layer, countries that become infected 
0,0,China  P.R.: Hong Kong
1,0,Angola
1,0,Cambodia
1,0,China  P.R.: Macao
1,0,Liberia
1,0,Maldives
1,0,Mongolia
1,0,Nepal
1,0,Samoa
1,0,Vanuatu
1,0,Vietnam
2,0,China  P.R.: Mainland
3,0,Taiwan Province of China
4,0,Belize
4,0,Philippines
4,0,Seychelles
4,0,Thailand
5,0,British Indian Ocean Territory
5,0,Singapore
6,0,Indonesia
6,0,Korea  Republic of
6,0,Malaysia
7,0,Brunei Darussalam
7,0,Korea  Democratic People's Rep. of
7,0,Myanmar
7,0,Niger
7,0,Uzbekistan
