time step, layer, countries that become infected 
0,0,China  P.R.: Hong Kong
0,1,China  P.R.: Hong Kong
0,2,China  P.R.: Hong Kong
0,3,China  P.R.: Hong Kong
0,4,China  P.R.: Hong Kong
1,0,China  P.R.: Macao
1,0,Liberia
1,1,Liberia
1,1,Samoa
1,2,Mongolia
1,4,Cambodia
1,4,China  P.R.: Mainland
1,4,Maldives
1,4,Mongolia
1,4,Nepal
3,0,South Africa
3,0,Taiwan Province of China
3,4,Thailand
4,0,Botswana
4,0,Congo  Democratic Republic of
4,0,Ghana
4,0,Kenya
4,0,Lesotho
4,0,Madagascar
4,0,Mozambique
4,0,Namibia
4,0,Nigeria
4,0,Swaziland
4,0,Uganda
4,0,Zimbabwe
5,0,Anguilla
5,0,Benin
5,0,British Indian Ocean Territory
5,0,Fiji
5,0,Guinea
5,0,Indonesia
5,0,Lao People's Democratic Republic
5,0,Malawi
5,0,Monaco
5,0,Myanmar
5,0,Virgin Islands  British
5,0,Zambia
5,1,Lao People's Democratic Republic
5,2,Guinea
5,2,Lao People's Democratic Republic
5,3,Lao People's Democratic Republic
5,4,Belize
5,4,Brunei Darussalam
5,4,Seychelles
5,4,Vanuatu
6,0,Philippines
6,0,Singapore
6,0,Vietnam
6,1,Libya
7,0,Korea  Republic of
7,0,Malaysia
7,1,Jordan
7,1,Timor-Leste  Dem. Rep. of
8,0,Afghanistan  Islamic Republic of
8,0,Cameroon
8,0,Dominica
8,0,Iraq
8,0,Korea  Democratic People's Rep. of
8,0,Papua New Guinea
8,0,Sudan
8,0,Yemen  Republic of
8,1,Mauritius
9,0,Cayman Islands
9,1,Bangladesh
9,2,Central African Republic
9,2,Niger
9,2,Sierra Leone
9,2,Solomon Islands
9,2,West Bank and Gaza
9,3,Liechtenstein
9,3,St. Vincent and the Grenadines
9,3,West Bank and Gaza
9,4,Uzbekistan
10,0,India
11,0,Egypt
11,0,Guinea-Bissau
11,0,Mauritania
11,0,Oman
11,0,Sri Lanka
11,0,Suriname
11,0,Tajikistan
11,2,Bolivia
11,3,Turkey
12,1,Albania
12,1,Andorra
12,1,Bahrain  Kingdom of
12,1,Rwanda
12,3,Malta
13,0,Azerbaijan  Republic of
13,0,Kuwait
13,1,Azerbaijan  Republic of
13,1,Kosovo  Republic of
14,0,Saudi Arabia
14,4,Australia
14,4,Iran  Islamic Republic of
15,4,Tonga
16,0,New Zealand
16,2,Pakistan
16,3,Pakistan
18,2,French Territories: French Polynesia
18,2,Turks and Caicos Islands
