time step, layer, countries that become infected 
0,0,China  P.R.: Hong Kong
0,0,China  P.R.: Mainland
1,0,Angola
1,0,Cambodia
1,0,China  P.R.: Macao
1,0,Korea  Republic of
1,0,Liberia
1,0,Malawi
1,0,Maldives
1,0,Mongolia
1,0,Nepal
1,0,Philippines
1,0,Samoa
1,0,Singapore
1,0,Solomon Islands
1,0,Taiwan Province of China
1,0,Thailand
1,0,Vanuatu
1,0,Vietnam
2,0,Belize
2,0,British Indian Ocean Territory
2,0,India
2,0,Korea  Democratic People's Rep. of
2,0,Malaysia
2,0,Marshall Islands  Republic of
2,0,Myanmar
2,0,Seychelles
2,0,South Africa
2,0,Sri Lanka
2,0,St. Vincent and the Grenadines
2,0,Uzbekistan
3,0,Botswana
3,0,Brunei Darussalam
3,0,Central African Republic
3,0,Congo  Democratic Republic of
3,0,Ghana
3,0,Guinea
3,0,Indonesia
3,0,Kenya
3,0,Lesotho
3,0,Mauritius
3,0,Mozambique
3,0,Niger
3,0,Oman
3,0,Swaziland
3,0,Tanzania
3,0,Zambia
4,0,Benin
4,0,Iran  Islamic Republic of
4,0,Namibia
4,0,Timor-Leste  Dem. Rep. of
4,0,Zimbabwe
