time step, layer, countries that become infected 
0,0,Germany
1,0,Austria
1,0,Curacao & St. Maarten
1,0,Denmark
1,0,Malta
2,0,Albania
2,0,Bosnia and Herzegovina
2,0,Croatia
2,0,Czech Republic
2,0,Finland
2,0,Greenland
2,0,Liechtenstein
2,0,Macedonia  FYR
2,0,Montenegro
2,0,Netherlands
2,0,Poland
2,0,Romania
2,0,Slovak Republic
2,0,Sweden
2,0,Turkmenistan
3,0,Aruba
3,0,Bangladesh
3,0,Belgium
3,0,Bermuda
3,0,Brazil
3,0,Bulgaria
3,0,Cyprus
3,0,Estonia
3,0,France
3,0,Georgia
3,0,Guernsey
3,0,Iceland
3,0,Indonesia
3,0,Ireland
3,0,Israel
3,0,Japan
3,0,Kazakhstan
3,0,Kosovo  Republic of
3,0,Latvia
3,0,Libya
3,0,Luxembourg
3,0,Mexico
3,0,Norway
3,0,Pakistan
3,0,Portugal
3,0,Russian Federation
3,0,Serbia  Republic of
3,0,Slovenia
3,0,Spain
3,0,Suriname
3,0,Switzerland
3,0,Turkey
3,0,Ukraine
3,0,United Kingdom
4,0,Afghanistan  Islamic Republic of
4,0,Andorra
4,0,Argentina
4,0,Australia
4,0,Bahamas  The
4,0,Barbados
4,0,Belize
4,0,Bolivia
4,0,Brunei Darussalam
4,0,Burundi
4,0,Cambodia
4,0,Canada
4,0,Central African Republic
4,0,Chile
4,0,China  P.R.: Macao
4,0,Colombia
4,0,Congo  Republic of
4,0,Costa Rica
4,0,Cuba
4,0,Djibouti
4,0,Dominican Republic
4,0,Egypt
4,0,Equatorial Guinea
4,0,Fiji
4,0,French Territories: New Caledonia
4,0,Gambia  The
4,0,Gibraltar
4,0,Grenada
4,0,Guinea
4,0,Guyana
4,0,Honduras
4,0,India
4,0,Iraq
4,0,Italy
4,0,Jersey
4,0,Kenya
4,0,Korea  Republic of
4,0,Kyrgyz Republic
4,0,Lebanon
4,0,Liberia
4,0,Madagascar
4,0,Malaysia
4,0,Mali
4,0,Mauritania
4,0,Moldova
4,0,Mongolia
4,0,Mozambique
4,0,Namibia
4,0,New Zealand
4,0,Niger
4,0,Oman
4,0,Papua New Guinea
4,0,Peru
4,0,Puerto Rico
4,0,Rwanda
4,0,San Marino
4,0,Saudi Arabia
4,0,Seychelles
4,0,Singapore
4,0,Solomon Islands
4,0,Sri Lanka
4,0,St. Lucia
4,0,Sudan
4,0,Syrian Arab Republic
4,0,Tajikistan
4,0,Thailand
4,0,Togo
4,0,Trinidad and Tobago
4,0,Turks and Caicos Islands
4,0,US Virgin Islands
4,0,United Arab Emirates
4,0,Uruguay
4,0,Vatican
4,0,Vietnam
4,0,West Bank and Gaza
4,0,Zambia
5,0,Algeria
5,0,Angola
5,0,Armenia  Republic of
5,0,Bahrain  Kingdom of
5,0,Benin
5,0,Botswana
5,0,Burkina Faso
5,0,Cameroon
5,0,Chad
5,0,China  P.R.: Mainland
5,0,Cote d'Ivoire
5,0,Dominica
5,0,El Salvador
5,0,French Territories: French Polynesia
5,0,Ghana
5,0,Guatemala
5,0,Haiti
5,0,Iran  Islamic Republic of
5,0,Jamaica
5,0,Korea  Democratic People's Rep. of
5,0,Lao People's Democratic Republic
5,0,Lithuania
5,0,Maldives
5,0,Mauritius
5,0,Morocco
5,0,Nepal
5,0,Nigeria
5,0,Paraguay
5,0,Qatar
5,0,Sao Tome and Principe
5,0,Sierra Leone
5,0,South Africa
5,0,St. Vincent and the Grenadines
5,0,Taiwan Province of China
5,0,Timor-Leste  Dem. Rep. of
5,0,Tunisia
5,0,Uganda
5,0,Uzbekistan
5,0,Venezuela  Republica Bolivariana de
5,0,Yemen  Republic of
6,0,Azerbaijan  Republic of
6,0,Bhutan
6,0,Cabo Verde
6,0,China  P.R.: Hong Kong
6,0,Ecuador
6,0,Gabon
6,0,Guinea-Bissau
6,0,Isle of Man
6,0,Kuwait
6,0,Malawi
6,0,Myanmar
6,0,Panama
6,0,Samoa
6,0,Swaziland
6,0,Tonga
6,0,United States
6,0,Virgin Islands  British
7,0,Anguilla
7,0,Belarus
7,0,Cayman Islands
7,0,Cook Islands
7,0,Ethiopia
7,0,Hungary
7,0,Lesotho
7,0,Monaco
7,0,Nicaragua
7,0,Senegal
7,0,St. Kitts and Nevis
7,0,US Pacific Islands
7,0,Zimbabwe
8,0,Antigua and Barbuda
8,0,Congo  Democratic Republic of
8,0,Greece
8,0,Marshall Islands  Republic of
8,0,Philippines
8,0,Tanzania
9,0,British Indian Ocean Territory
9,0,Jordan
9,0,Vanuatu
