Country,PageRank score
United States,0.16597172221151188
United Kingdom,0.08215221568405282
Luxembourg,0.05187961252071626
Netherlands,0.05070415419202052
France,0.04319079920773583
Germany,0.032619588612597755
Cayman Islands,0.03207906149837174
Switzerland,0.02732734046455374
Japan,0.02548246967145281
Ireland,0.025127046706949464
China  P.R.: Mainland,0.023478954097058226
China  P.R.: Hong Kong,0.023195296517224517
Canada,0.018968504429663434
Italy,0.017364876941978896
Spain,0.016530082308389347
Australia,0.014607447874721267
Belgium,0.014319554230385166
Singapore,0.011325223683698336
India,0.010452681583074372
Bermuda,0.010219934658784943
Brazil,0.009476090917848541
Sweden,0.009068904557152334
Austria,0.008034042562175762
Mexico,0.007805174138575759
Korea  Republic of,0.006930253303822915
Virgin Islands  British,0.006561137631946614
Russian Federation,0.006198962740673165
Mauritius,0.0061778840205252514
Denmark,0.005719257713061996
Jersey,0.005201528935611443
Norway,0.004950293672846797
Portugal,0.004551097399638013
Panama,0.004510743454198086
Turkey,0.004402590726220955
Taiwan Province of China,0.004345691735259313
South Africa,0.004315798694404934
Cyprus,0.004203435418398217
Finland,0.004193214899933493
United Arab Emirates,0.004152825803909031
Peru,0.004094286007041622
Indonesia,0.003879410034579077
Poland,0.003677777846315588
Bahamas  The,0.0036667765963024007
Bahrain  Kingdom of,0.003565842547569096
Hungary,0.0029756301852445514
Chile,0.0028964362080473594
Thailand,0.002749808526136382
Curacao,0.0026540965326400257
Israel,0.0025865049782978185
Malaysia,0.0024783404048343838
Bulgaria,0.0024314858407972133
Guernsey,0.0022778437245284723
Czech Republic,0.0022677451044123007
New Zealand,0.0020764550127128547
Colombia,0.0020338585894848675
Saudi Arabia,0.0018415292712372696
Argentina,0.0018061444364810698
Isle of Man,0.0017957586187162355
Romania,0.00177150555216664
Venezuela  Republica Bolivariana de,0.001732114128081762
Greece,0.0017103617002448856
Nigeria,0.0016995432517798788
Kazakhstan,0.0016794881859313576
Philippines,0.0015714925897247099
Slovak Republic,0.00155137685668578
Serbia  Republic of,0.001532991819887423
Egypt,0.001502577649352191
Qatar,0.0014436173777012543
Puerto Rico,0.0014055280189057314
Malta,0.0013903772359784808
China  P.R.: Macao,0.0013890615607412072
Croatia,0.0013704791366607257
Ukraine,0.0013583128197397236
Uruguay,0.00134566386982182
Slovenia,0.0012932602694161674
Costa Rica,0.0012741924730975743
Gibraltar,0.0012676822439023554
Mozambique,0.0012560066440995756
Jordan,0.0012443772887031598
Barbados,0.001172194273849431
Marshall Islands  Republic of,0.0011623418786237732
Guatemala,0.0011561089131815424
Vietnam,0.0011414382368032535
Kuwait,0.0011403936106857476
Sri Lanka,0.0011367753881736688
Latvia,0.0011131505001587918
Lithuania,0.001098797183806363
Angola,0.0010971336383040074
Morocco,0.0010753251113739838
Liberia,0.0010596628866347275
Bosnia and Herzegovina,0.0010273102341915566
El Salvador,0.0010271580010421974
Azerbaijan  Republic of,0.0009920315747101154
Niger,0.0009842553500603829
Estonia,0.0009760730630669699
Ecuador,0.0009674734212339626
Dominican Republic,0.000961931393941765
Iceland,0.0009616431766468167
Pakistan,0.0009497102442386042
Honduras,0.0009392032821404631
Belarus,0.0009322414355704237
Bangladesh,0.0009278623085839588
Oman,0.0009169280385894874
Solomon Islands,0.0009018008441116908
Montenegro,0.0008994765042771841
Papua New Guinea,0.0008923625817793883
Macedonia  FYR,0.0008866155920945948
Ghana,0.0008865662341907681
Nepal,0.000884199724664559
Kenya,0.0008825201696613126
Algeria,0.0008743525481616787
Mali,0.0008717790573881517
Iraq,0.000868511997070997
Nicaragua,0.0008565833553481977
Bolivia,0.0008496857545165162
West Bank and Gaza,0.0008495647013588163
Togo,0.0008466105620927214
Albania,0.0008455174048073291
Zambia,0.0008398721883339965
Liechtenstein,0.0008390045383645446
Iran  Islamic Republic of,0.0008371175939732295
Lebanon,0.0008342649393489431
Paraguay,0.0008341159602108852
Uganda,0.0008337153531900815
Cote d'Ivoire,0.0008273762627291677
Mongolia,0.0008106192863274648
Tunisia,0.0008095047142244362
Trinidad and Tobago,0.0008079656264784429
Myanmar,0.0008036283931229284
Georgia,0.0008033406059990527
Congo  Republic of,0.0007988706237458918
Kosovo  Republic of,0.0007987382812321175
Benin,0.0007987208416544476
Botswana,0.0007893411513818077
Lao People's Democratic Republic,0.0007876908606539111
Tanzania,0.0007859711755858072
Senegal,0.0007856629395481369
Armenia  Republic of,0.0007851653702599319
Gabon,0.000783412595691471
Aruba,0.0007794778119207334
Samoa,0.0007776844896896541
Congo  Democratic Republic of,0.0007772085605180812
Burkina Faso,0.0007771121555883293
Guinea-Bissau,0.0007765322381824416
Libya,0.0007700177732498908
Andorra,0.000765965898366759
Belize,0.0007655622403858707
Seychelles,0.000764308537870988
Rwanda,0.0007616737190845453
Kyrgyz Republic,0.0007615890433137374
Namibia,0.0007615395862213719
Cambodia,0.0007589786404325198
Jamaica,0.0007586071587670966
Cuba,0.0007570708541600162
Uzbekistan,0.0007535104305477061
Ethiopia,0.0007526970540719811
French Territories: New Caledonia,0.0007524359272796856
Maldives,0.0007513629161025453
Madagascar,0.0007509142439176494
Zimbabwe,0.0007506211751288258
Cameroon,0.0007505453366954487
Monaco,0.0007502320314269572
Moldova,0.0007486590398881086
Turkmenistan,0.0007475162707506608
Tajikistan,0.0007428618878865158
Turks and Caicos Islands,0.0007404604947205864
Sudan,0.0007403536374068632
Cabo Verde,0.0007380006843803038
St. Vincent and the Grenadines,0.0007377302716721573
US Virgin Islands,0.000735324350136927
Guyana,0.0007351717755669972
Sint Maarten,0.0007350133455833655
Curacao & St. Maarten,0.0007348105761100496
Syrian Arab Republic,0.0007345862077654982
French Territories: French Polynesia,0.0007344711146486864
Yemen  Republic of,0.0007316625459736486
Fiji,0.0007314396135738536
Swaziland,0.0007304256907613223
Brunei Darussalam,0.0007294879070855957
Sierra Leone,0.0007280068587028931
Malawi,0.0007277534942924245
Mauritania,0.0007271885048652526
Greenland,0.0007270270174941101
San Marino,0.0007269591314519553
St. Lucia,0.0007254796861797033
US Pacific Islands,0.0007252322283419555
Chad,0.0007249787952463019
Burundi,0.0007248636252139782
Equatorial Guinea,0.0007244029734160119
Lesotho,0.0007239154449090227
British Indian Ocean Territory,0.0007239022426982095
Haiti,0.0007235476113086424
Timor-Leste  Dem. Rep. of,0.0007235123996547221
Guinea,0.0007232915056852105
Anguilla,0.000723084758215683
Afghanistan  Islamic Republic of,0.0007230281696936935
Dominica,0.0007229212859334521
Antigua and Barbuda,0.0007229012045318756
Suriname,0.0007228425635230132
Bhutan,0.0007227707788495048
Vatican,0.0007226979894628419
