Country,Hub score
United States,1.0
Luxembourg,0.8208067111804157
United Kingdom,0.8170988771596288
Japan,0.6013373042943695
Cayman Islands,0.5547917904950332
Netherlands,0.5298421620254992
China  P.R.: Mainland,0.4751054678655536
Germany,0.4457661879595248
France,0.3852151087646678
Ireland,0.3789962255480538
Canada,0.3288073552139861
Switzerland,0.25202609030029643
China  P.R.: Hong Kong,0.15349359023924786
Bermuda,0.145993105869718
Belgium,0.13855262110119207
Italy,0.13419894853816208
Singapore,0.12358271573030413
Australia,0.120597693934893
Norway,0.11935242454088944
Taiwan Province of China,0.11104242051385205
Sweden,0.09146761704171308
Spain,0.09121489696388208
Virgin Islands  British,0.0645709239065151
Denmark,0.05802959960369277
Jersey,0.0558370215811002
United Arab Emirates,0.05385124967188464
Korea  Republic of,0.053598031163150685
Saudi Arabia,0.041755938521398646
Guernsey,0.039580912786565184
Mexico,0.03681714514551427
Austria,0.035570598017855726
Finland,0.03542641742818933
Israel,0.024383563874378872
Russian Federation,0.023948639890429113
South Africa,0.023203090439949798
Brazil,0.02080955389488498
Chile,0.020288507761934037
Bahamas  The,0.01988364676875841
Hungary,0.014886122022475098
Portugal,0.014655500993451382
Isle of Man,0.013776876740933388
Kazakhstan,0.01284840758151543
Poland,0.012292445348548937
Gibraltar,0.01207758677533963
Greece,0.011164550456367831
Malaysia,0.010950122279116294
Curacao & St. Maarten,0.009884015285217283
Argentina,0.008589615102583516
India,0.008457846139084523
Mauritius,0.008324506107540245
Kuwait,0.007681398058846583
Peru,0.0076456733459667895
Oman,0.007393496540803476
Iraq,0.007020536560282429
Colombia,0.006963779931771499
New Zealand,0.00692175724736527
China  P.R.: Macao,0.0066518868046840695
Thailand,0.00655493432734612
Venezuela  Republica Bolivariana de,0.006482166432661423
Panama,0.006018955817466758
Bahrain  Kingdom of,0.005220314690022938
Qatar,0.005006672084123813
Barbados,0.00483315566544385
Anguilla,0.0043261581486540865
Cyprus,0.004307825622188283
Turkey,0.004168676936665191
Czech Republic,0.003691060124132615
Philippines,0.0034751678490692675
Nigeria,0.0034397146394410027
Trinidad and Tobago,0.0033238650794951753
Lebanon,0.0032981758203055006
Iceland,0.0032045422350313164
Uruguay,0.0030998394009141682
Liechtenstein,0.0027596944468730464
Libya,0.002523184663785901
Malta,0.002237308935956529
Indonesia,0.002031883775692571
Azerbaijan  Republic of,0.0019597972086011946
Egypt,0.0017470022396245052
Angola,0.0016952155353319484
Slovak Republic,0.0016681449480187944
Vietnam,0.0015716452326159712
Slovenia,0.0014661582854143514
Ukraine,0.0014037205743892029
Costa Rica,0.0013191865599360875
Jordan,0.0012928583126401866
Latvia,0.0012207614173190304
Dominican Republic,0.001159052593110159
Ecuador,0.0011470686102000023
Guatemala,0.0010342047868607603
Kenya,0.0010177288924911132
Bulgaria,0.0009971070756349492
Croatia,0.0009497554808361528
Bolivia,0.0008823172452772136
Morocco,0.0008715131360021658
Brunei Darussalam,0.0008692477195595287
Liberia,0.0008147093491989228
Honduras,0.0008090360410176884
Marshall Islands  Republic of,0.0007799790913550433
Bangladesh,0.0007612944595982683
