Country,PageRank score
United States,0.14543765084538335
United Kingdom,0.07504229374869342
Luxembourg,0.0722201036413104
Netherlands,0.06252890992159242
France,0.05310175100178684
Germany,0.051336326625617046
Japan,0.04011579262893354
Switzerland,0.028452125449253716
Cayman Islands,0.027098928284555894
China  P.R.: Hong Kong,0.025982135050369056
China  P.R.: Mainland,0.023029024310521243
Canada,0.021774252216038632
Italy,0.020906907869267195
Belgium,0.017897353511201877
Singapore,0.012830045300862349
Bermuda,0.012562494302286262
Sweden,0.012074204187671713
Norway,0.011633467748862014
Ireland,0.011548620791378686
Spain,0.011520922825118522
Australia,0.00976709459152137
Denmark,0.008843155726146228
Korea  Republic of,0.008140534201906923
Austria,0.008037150535396949
Russian Federation,0.007244253717910891
South Africa,0.006530923876843467
Mauritius,0.005518081512006253
Finland,0.005312211678511341
Brazil,0.005174007539361084
Jersey,0.004909681642419041
Taiwan Province of China,0.004744264418494885
Guernsey,0.004058304166332648
Saudi Arabia,0.003912128379066291
Thailand,0.0035223889955253943
Portugal,0.003343709455984104
Cyprus,0.003258861495838338
United Arab Emirates,0.0032474384988399963
Bahrain  Kingdom of,0.0031908724205379937
Kuwait,0.0029644502807829763
India,0.0029489336254552934
Mexico,0.0029281177275754687
Hungary,0.0029262819573498493
Bahamas  The,0.0025356323911146367
Gibraltar,0.0025262618946948227
Malaysia,0.0023239915996102318
Israel,0.002248984596350654
Panama,0.0020842202111118714
Greece,0.001947696755712849
China  P.R.: Macao,0.0019010911189628562
Turkey,0.0017915875482376084
Poland,0.001774633087583921
Kazakhstan,0.001757353289510278
Isle of Man,0.0015932794806220883
Curacao & St. Maarten,0.0015897597075021216
Virgin Islands  British,0.0015156955715397707
Czech Republic,0.0014767640333183472
Slovenia,0.0014496955690231693
Chile,0.0013670936095500933
Morocco,0.0013609905804659803
Colombia,0.0013141405494140857
Jordan,0.0012234501623006751
Lebanon,0.0012163723720865615
Malta,0.0012097924748483441
New Zealand,0.0012091237364993822
Pakistan,0.0011882388086567252
Argentina,0.001181583902773615
Peru,0.0011523901289684348
Libya,0.001151481594587959
Venezuela  Republica Bolivariana de,0.001138631058425177
Qatar,0.0010886387809640396
Philippines,0.001018450835395668
Slovak Republic,0.0010105417266660576
Albania,0.0009663485634361069
Barbados,0.0009643316926958921
Angola,0.0009589872869188203
Costa Rica,0.0009538914505277064
Estonia,0.0009264217193928456
Egypt,0.0009103107823774137
Iceland,0.0009097258525732739
Indonesia,0.0009093612499871222
Bulgaria,0.0009087417261572106
Latvia,0.0009024623385936218
Nigeria,0.0008930175976303919
Liechtenstein,0.0008928826724513233
Romania,0.0008901912456225823
Lithuania,0.0008593100418986237
Samoa,0.0008507140231256659
Uruguay,0.0008493984649721075
Oman,0.0008482473342134654
Seychelles,0.000831189458222867
Bangladesh,0.0008303484029893473
Belize,0.0008267169203406876
Burkina Faso,0.0008206097530720674
Honduras,0.0008098347237616116
Anguilla,0.0008051730549971682
Liberia,0.0007993020302085467
Ukraine,0.0007985154689939113
Iran  Islamic Republic of,0.0007978877246659142
Marshall Islands  Republic of,0.0007969708353654267
Vietnam,0.0007930226141229202
Cote d'Ivoire,0.0007904117989516819
Kenya,0.0007898612459951959
Ecuador,0.0007781149684719016
Guatemala,0.000777205766275806
Dominican Republic,0.0007707006261252875
Trinidad and Tobago,0.0007705549586722382
Algeria,0.0007685094890207684
Zambia,0.0007651793421642896
Azerbaijan  Republic of,0.0007611613643018513
Bolivia,0.0007610874456116139
Croatia,0.0007573323193347407
Uzbekistan,0.0007522246548477765
Brunei Darussalam,0.000750526498103404
Tunisia,0.0007460220234134531
Serbia  Republic of,0.0007441309819013026
Ghana,0.0007440713290718029
Belarus,0.0007417268514638067
Mozambique,0.0007377102607062747
Andorra,0.0007375130435875631
Kosovo  Republic of,0.0007361467016951163
Bosnia and Herzegovina,0.0007359786038666946
Botswana,0.0007351939663639621
El Salvador,0.000735173545874079
Sri Lanka,0.0007325178925894282
Nepal,0.0007289575608735843
Namibia,0.0007271863397189753
St. Vincent and the Grenadines,0.0007270659046746395
Tanzania,0.0007258925837322651
Turkmenistan,0.000725645942834614
Paraguay,0.0007255990561505272
Iraq,0.0007251811859895168
Uganda,0.0007242429900444898
Macedonia  FYR,0.0007241187812735955
US Virgin Islands,0.0007237391924265857
West Bank and Gaza,0.000723668509494358
Swaziland,0.000723523708384056
Cameroon,0.0007224366594998262
Cuba,0.0007223930244212725
Cambodia,0.000722116506728104
Jamaica,0.0007218259441098408
French Territories: New Caledonia,0.0007218005389349629
Congo  Democratic Republic of,0.000721267031356859
Zimbabwe,0.0007212043950161515
Gabon,0.000719972442929149
Madagascar,0.0007197881302551597
Armenia  Republic of,0.0007195284546569979
Syrian Arab Republic,0.0007192131142137243
Afghanistan  Islamic Republic of,0.0007191982747504864
Turks and Caicos Islands,0.0007191913981975189
Nicaragua,0.0007190070607147487
Benin,0.0007189284452449547
Congo  Republic of,0.0007185494582407358
Ethiopia,0.0007184128409923545
Monaco,0.0007179133166218475
Georgia,0.0007174569332893428
Kyrgyz Republic,0.0007172254299017051
Moldova,0.0007171421474374702
San Marino,0.0007170483943120722
Senegal,0.0007168110086356222
