Country,Hub score
United States,1.0
United Kingdom,0.5624102589340194
Netherlands,0.3898391414020972
Cayman Islands,0.3334643794429862
France,0.2761136595297352
Luxembourg,0.27014228959444303
Ireland,0.2492190936799963
Japan,0.24770643685853264
Germany,0.24009150213412173
Canada,0.2082566861987997
Switzerland,0.19199820110297908
Australia,0.11398343865178127
China  P.R.: Hong Kong,0.10551983562011087
Bermuda,0.10520643828807538
Italy,0.1023553017649599
Belgium,0.09575572216802473
Spain,0.08856720111525328
China  P.R.: Mainland,0.08855319222760248
Singapore,0.08528967869948502
Brazil,0.07633513252825307
Sweden,0.05955394896083081
Mexico,0.051453958067845175
Korea  Republic of,0.04512772486733651
India,0.03772434029612198
Jersey,0.03351432356718369
Austria,0.03040517282218581
Norway,0.030387336668193102
Denmark,0.02880669957047623
Taiwan Province of China,0.028766544069531264
Russian Federation,0.02664673769781287
Virgin Islands  British,0.024375604546946043
Finland,0.02148585944522191
South Africa,0.021207158406347484
Indonesia,0.020382754380443194
Poland,0.01858124502601537
Curacao,0.016789977663472483
Turkey,0.016274870386191003
Israel,0.016030895255388995
United Arab Emirates,0.015443224338389462
Thailand,0.01501746719394902
Hungary,0.014538792790730006
Mauritius,0.014299294513874378
Chile,0.012774635003601632
Peru,0.012302984261292433
Guernsey,0.011548490585218927
Malaysia,0.011539945059065877
Portugal,0.01060980039240427
Kazakhstan,0.008852662206811525
Bahamas  The,0.008831947778832944
Argentina,0.008495310332674526
Czech Republic,0.00795826276115754
Turkmenistan,0.0077194554706799005
New Zealand,0.007492260879330696
Puerto Rico,0.007400873208759046
Panama,0.007176848459250647
Colombia,0.007105881060898962
Egypt,0.007090911206245303
Gibraltar,0.007033854743782155
Philippines,0.0069865267062274835
Saudi Arabia,0.006300142982612018
Barbados,0.006198571204227796
Greece,0.005232409995116325
Nigeria,0.004806597912382751
Qatar,0.004764505885572739
Jordan,0.004588909294764663
Malta,0.004313101579486875
Cyprus,0.004302780515343351
Romania,0.0037720748258719644
Venezuela  Republica Bolivariana de,0.0034702426947837975
Marshall Islands  Republic of,0.0031263048884942043
Isle of Man,0.0029154312154687835
Vietnam,0.0026347250651358126
Liberia,0.002562682549706563
Iceland,0.0022679950889346106
China  P.R.: Macao,0.0021692009046247033
Ukraine,0.0021480847594155016
Slovak Republic,0.002072685036674335
Bahrain  Kingdom of,0.0019413610464068987
Angola,0.0018271970137382428
Croatia,0.0017981641166854802
Uruguay,0.001746856133497122
Pakistan,0.0017074462254161372
Morocco,0.0016224523968555555
Ecuador,0.00155097867599963
Lebanon,0.0014070213672667568
Slovenia,0.001402743316689724
Kuwait,0.0013815499570734812
Dominican Republic,0.0013433859075350743
Ghana,0.00127113182818404
